Author	Title	City	Publisher	Year	Pages	Size	ISBN	Price	Product number
Aardweg, Ankie van den	Joke omnibus	Dronten	Casterman	1978	222	22 cm	9030370114	f. 10.90	7910326
Aardweg, Ankle van den Mieke omnibus 7910922	Joke omnibus	Dronten	Casterman	1978	222	22 cm	N/A	Unknown	7910922
Aardweg, Ankle van den	Mieke omnibus	Dronten	Casterman	1978	221	22 cm	9030370122	f. 10.90	7910325
Aarnoudse, Mare Wilhelmina	Vessel wall damage by X-rays and 15 MeV neutrons: an experimental study	[S.1.]	[s.n.]	1979	88	25 cm	N/A	Unknown	7945558
Aart, Anton van	De landelijke organisatie van het VJ/ : tussen staat en sentra : voorlopig onderzoek naar de rol van de staat en het welzijnswerk, de educatieve initiatieven van de staat, de kritiek van de centra daarop en de manier waarop de landelijke organisatie binnen dit spanningsveld werkt	[Breda]	[Ballemans]	1978	79	30 cm	N/A	Unknown	7916083
Aart, L. J. van	Theorie en praktijk van inbraakpreventie	269 p.	ill. ; 24 cm.ISBN 90-201-0677-5 geb.	Unknown	Unknown	Unknown	9020106775	f. 44.25	7928156
Aarts, F. G. A. M.	Taalstructuur en taalgebruik : de beschrijving van imperatieve zinnen in het Engels : rede uitgesproken bij de aanvaarding van het ambt van gewoon hoogleraar in de Engelse taalkunde aan de Katholieke Universiteit te Nijmegen op 22 juni 1979	[S.1.]	[s.n.]	1979	24	24 cm	N/A	Unknown	7950294
Aarts, J. F. M. C.	Onderwijs in Nederland	Groningen	Wolters-Noordhoff	1979	Unknown	Unknown	900100606X	f. 32	7951304
Aarts, J. M.	Morphisms of local dynamical systems,1	Amsterdam	SMC	1978	20	29 cm	N/A	Unknown	7930201
Abbas, J. H.	Plaatjes-interessetest P.I.T.A. handleiding	Groningen	Wolters-Noordhoff	1979	36	30 cm	9001012124	f. 5.30	7951306
Abbestee, Nita	Jugendbibel	Haarlem	Rozekruis-pers	1978	376	24 cm	N/A	f. 42.50	7943195
Abbey, Edward	Het land van de cactus	Amsterdam	Time-Life	Unknown	184	27 cm	9061822971	f. 34	7917429
Abbink, F. J.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7928080
Unknown	ABC der bedrijfsadministratie : een methode ten behoeve van het economisch en administratief onderwijs	Groningen	Wolters-Noordhoff. 2.	Unknown	234	21 cm	9001404464	f. 29.90	7941121
Unknown	Abc of English grammar	Zutphen	Thieme	1978	78	23 cm	9003371504	f. 9.20	7919238
Unknown	ABC of English grammar	Zutphen	Thieme	1979	78	23 cm	9003371504	f. 7.20	7938245
Unknown	Abc , Het, van de AVP	Den Haag	Bureau voorlichting schadeverzekering	1977	32	20 cm	N/A	f. 0.50	7910369
Abeele, Agnes Van den	Haar bitter ontwaken	Tilburg	Vrijbuiter Strombeek-Bever	Unknown	49	28 cm	N/A	Unknown	7925020
Abeele, Agnes Van den	Kortstondige liefde	Tilburg	Vrijbuiter ; Strombeek-Bever	Unknown	49	28 cm	N/A	Unknown	7942138
Abeele, Agnes Van den	Zijn zware schuld	Tilburg	Vrijbuiter ; Strombeek-Bever	Unknown	81	21 cm	N/A	Unknown	7911292
Abeels, G.	Anderlecht en cartes postales anciennes = Anderlecht in oude prentkaarten	Zaltbommel	Bibliothèque Européenne	1979	Unknown	Unknown	N/A	f. 19.50	7933369
Abeels, G.	Bruxelles en cartes postales anciennes = Brussel in oude prentkaarten	Zaltbommel	Europese Bibliotheek	1979	Unknown	Unknown	N/A	f. 19.50	7914434
Abeels, G.	Bruxelles en cartes postales anciennes = Brussel in oude prentkaarten	Zaltbommel	Europese bibliotheek	1979	Unknown	Unknown	N/A	f. 20.25	7955124
Abeels, G.	Métiers de la rue Bruxelles 1906-1914	Zaltbommel	BibliothèqueEuropéenne	1979	84	16 X 21 cm	N/A	f. 19.50	7933370
Abkoude, Chr. van	Nieuwe avonturen van Pietje Bell	Alkmaar	Kluitman	1978	158	18 cm	902061004X	f. 3.25	7909472
Abkoude, Chr. van	Pietje Bell gaat vliegen	Alkmaar	Kluitman	1978	159	18cm	9020610244	f. 3.25	7909473
Abkoude, Chr. van	Pietje Bell in Amerika	Alkmaar	Kluitman	1978	158	18 cm	9020610813	f. 3.25	7909474
Abkoude, Chr. van	De zonen van Pietje Bell	Alkmaar	Kluitman	1978	156	18 cm	9020610511	f. 3.25	7909475
Unknown	Unknown	Den Haag	StimezoNederland. Late abortus in Nederland	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Abrahams, Petrus Johannes	Biological activity ofSV40 DNA : its use in studies on cell transformation and on defective radiation repair in Xerodermapigmentosum	[Si.]	[s.n.]	1978	164	24 cm	N/A	Unknown	7908134
Unknown	Abreu, Ronney De — Studies on the structure and function of pyruvate dehydrogenase complexes	[Si.]	[s.n.]	1978	164	24 cm	N/A	Unknown	7905292
Unknown	Abspoel, J. J. — Studenten, moordenaars en ander volk : kritische kanttekeningen van een officier van justitie	[Si.]	[s.n.]	1978	164	24 cm	9020431811	f. 18.90	7952261
Unknown	Abstracte kunst uit de jaren zestig en zeventig : een keuze uit de verzameling van het Centraal Museum	[Si.]	[s.n.]	1978	164	24 cm	N/A	f. 7.50	7949148
Unknown	Abu-Haidar, Farida — A study of the spoken Arabic of Baskinta	[Si.]	[s.n.]	1978	164	24 cm	N/A	Unknown	Unknown
Unknown	Unknown	ABW praktijkhandboek f onder red. van Th. de Boer H. J. Buijsman [et al.]. — 's-Gravenhage	Vuga.Bd. 1. — Cop. 1979. — [4381 p.	6095	Unknown	Unknown	9060953401	f. 65	7913120
Unknown	Accent op... kleine dingen	[Si.]	[s.n.]	1978	164	24 cm	N/A	Unknown	Unknown
Unknown	Unknown	Access to justice! cd. by Mauro Cappelletti. — Alphen aan den Rijn	Sijthoff and Noordhoff ; Milan Giuffrè	1978	Unknown	Unknown	9028603786	f. 124.80	7932281
Unknown	Accoce, Pierre — Val dood!	[Si.]	[s.n.]	1978	164	24 cm	N/A	Unknown	7935159
Unknown	Accomodatie onderzoeken	[Si.]	[s.n.]	1978	164	24 cm	N/A	Unknown	Unknown
Unknown	Acconi, Vito — Vito Acconci : Stedelijk Museum, Amsterdam, 30.11.1978-14.1.1979	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7905287
Unknown	Accijnswetgeving , De : waarin opgenomen de wetgeving op de alcoholaccijns, de wijnaccijns, de accijns van mousserende dranken, de bieraccijns, de accijns van alcoholvrije dranken, de accijns van minerale oliën, de suikeraccijns en de tabaksaccijns, alsmede op de accijnzen betrekking hebbende internationale overeenkomsten : met aantekeningen en alfabetische trefwoordenregisters	Unknown	Unknown	Unknown	Unknown	Unknown	9021715079	f. 50	7910207
Unknown	Achebe, Chinua — Een wereld valt uiteen : roman	Unknown	Unknown	Unknown	Unknown	Unknown	9062805744	f. 22.90	7930308
Unknown	Achen, Gerda — Het geslacht De Grano : ochtend in Boedapest	Unknown	Unknown	Unknown	Unknown	Unknown	9010025349	f. 28.50	7922021
Unknown	Achen, Gerda — Het geslacht De Grano : middag in Wenen	Unknown	Unknown	Unknown	Unknown	Unknown	9010027317	f. 28.50	7947246
Unknown	Achilleos, Chris — Miss Universe en het Beest : een verzameling heroïsche fantasy-illustraties uit het werk van Chris Achilleos	Unknown	Unknown	Unknown	Unknown	Unknown	9032896318	f. 27.95	7925128
Unknown	Unknown	Unknown	Unknown	Unknown	1979	30 cm	N/A	Unknown	7927049
Achterberg, Gerrit	Verzamelde gedichten	Amsterdam	Querido	1979	Unknown	Unknown	9021410079	f. 55	7918263
Achterberg, Gerrit	Voorbij de laatste stad : een bloemlezing uit zijn gehele oeuvre	Amsterdam	Bakker	1978	192	18 cm	9060195795	f. 9.75	7903407
Achterberg, Gerrit	Het weerlicht op de kimmen : een keuze uit de gedichten	Amsterdam	Querido	1979	167	20 cm	902145029	f. 23.90	7953073
Unknown	Achtergrond op de voorgrond : beleidsnota van de Openbare Biblioteek Tilburg	Tilburg	Openbare Biblioteek	1979	26	15 x 21 cm	N/A	Unknown	7928254
Unknown	Achtergronden en toekomst van het grondwaterbeleidin Drenthe	Assen	Provinciaal bestuur	1979	128	28 cm	N/A	f. 7.25	7938442
Achterland, Gerrit	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7944310
Achterland, Gerrit	Gedichten 1973-1978 : (een keuze uit gepubliceerde gedichten)	32 p.	ill. ; 21 cm. (Panther paperback) f. 15.- 7944314	Unknown	Unknown	Unknown	N/A	f. 15	7944314
Acker, Jan van	Antwerpen : van Romeins veer tot wereldhaven	Antwerpen	Mercurius	1975	447	26 cm	N/A	Unknown	7930445
Acker, K. G. van	Hoe maak ik mijn proefschrift? : technische gegevens en aanbevelingen	Gent	Story-Scientia	1979	50	21 cm	N/A	Unknown	7920716
Ackroyd, Peter R.	Deuren van waarneming : een gids voor het lezen van de psalmen	Nijmegen	Gottmer ; BruggeEmmaus	1979	87	20 cm	9060758323	f. 10.90	7954181
Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Amerikaans-Indiaanse technieken, lappenbeesten,mierenboerderijen, meubels "antiek" maken,appliqueren, astronomie, babyvoeding, mandenmaken, batikken	Nijmegen	Gottmer ; BruggeEmmaus	1979	87	20 cm	N/A	Unknown	Unknown
Amsterdam] : PPI, cop. 1975.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	9061822319	f. 27.50	7917437
Unknown	Acta contracta : de synode van Groningen-zuid 1978 in kort bestek	Haarlem	Vijlbrief	1978	96	20 cm	9063840063	f. 11.75	7905268
Unknown	Unknown	The Hague	Nijhoff.Engelse titel vanaf dl. XI	Unknown	1979	25 cm	9024721229	f. 75	7939053
Unknown	Unknown	Acta iranica	encyclopedie permanente des études iraniennes fondée a l'occasion du 2500e anniversaire de la fondation de l'empire perse par Cyrus le Grand. — Téhéran [etc.]	Unknown	Unknown	Unknown	9004039023	Unknown	Unknown
Unknown	Unknown	Acta iranica. — Teheran [etc.]	Bibliothèque PahlaviLeiden	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Acta paedagogica ultrajectina. — Groningen	Tjeenk Willink. 12 — L. van Gelder — Beeldende expressie	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Acta theologica danica. — Leiden	Brill. vol. 12 — Leif Grane — Modus loquendi theologicus vol. 13 — Jan Lindhardt — Rhetor	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Acta van de generale synode van de Gereformeerde Kerken in Nederland. — Kampen : Kok. 1977/1979 : gehouden te Zwolle op 10 mei 1977, te Lunteren van 10 t/m 13 oktober 1977, van 14 t/m 18 november 1977, van 6 t/m 9 maart 1978, van 3 t/m 6 april 1978, van 10 t/m 13 oktober 1978, van 20 t/m 24 november 1978, van 9 t/m 10 januari 1979	1979. 215 p. ; 25 cm.Lit. opg. ISBN 90-247-2122-9 geb.	f. 75.- 7939053	Unknown	Unknown	Unknown	9063840047	f. 68.80	7946509
Unknown	Acta zoologica et pathologica Antverpensia	1979. 215 p. ; 25 cm.Lit. opg. ISBN 90-247-2122-9 geb.	f. 75.- 7939053	Unknown	Unknown	Unknown	N/A	Unknown	7918454
Unknown	Unknown	Actes du Colloque international ]'Art Brabangon aumilieu du XVIe siècle et les tapisseries du chateau duWawel à Cracovie	14-15 décembre 1972 = Acta van het Internationaal colloquium De Brabantse kunst rond het midden van de 16e eeuw en de wandtapijten van de Wawelburcht te Krakau	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Actie, werkelijkheid en fictie in de kunst van de jaren '60 in Nederland : Museum Boymans-van Beuningen, Rotterdam, 9 november 1979 t/m 6 januari 1980	1979. 215 p. ; 25 cm.Lit. opg. ISBN 90-247-2122-9 geb.	f. 75.- 7939053	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Actief : denk-en doegeografie. — Antwerpen : De Sikkel. 2 : voor het tweede observatiejaar	1979. 215 p. ; 25 cm.Lit. opg. ISBN 90-247-2122-9 geb.	f. 75.- 7939053	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Europees verbond van vakverenigingen	aangenomen door het Tweede statutaire congres	Unknown	Unknown	Unknown	N/A	Unknown	7920443
Unknown	Actieven en niet-actieven : een analyse van trends in de periode 1960-1976	Unknown	Unknown	Unknown	Unknown	Unknown	9012026016	f. 9.50	7932255
Unknown	Action et reaction : fil conducteur à travers 1'histoire littéraire frangaise	Unknown	Unknown	Unknown	Unknown	Unknown	9001908357	f. 11.25	7934209
Unknown	Actualiteit, De, in documenten	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Actuele geschiedenis. — Brugge : De Garve. 4 : De Arabische landen en Israël	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Adam in ballingschap	Unknown	Unknown	Unknown	Unknown	Unknown	9003206503	f. 12	7951183
Unknown	Adama Zijlstra, A. — Het Kurhaus, van badhuis tot levend monument : een kroniek van 160 jaren	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Adams, Corinne — English speech rhythm and theforeign learner	Unknown	Unknown	Unknown	Unknown	Unknown	902797716x	Unknown	7939155
Unknown	Adams, Richard — Shardik	Unknown	Unknown	Unknown	Unknown	Unknown	9027409129	f. 10.25	7913067
Unknown	Adams, Richard — Twee honden	Unknown	Unknown	Unknown	Unknown	Unknown	9027470790	f. 32.50	7908243
Unknown	Adams, Richard — Twee honden	Unknown	Unknown	Unknown	Unknown	Unknown	9027470790	f. 32.50	7952237
Unknown	Adams, Richard — Waterschapsheuvel : filmboek	Unknown	Unknown	Unknown	Unknown	Unknown	9027470804	f. 19.50	7908245
Unknown	Adams, Virginia — Misdaad	Unknown	Unknown	Unknown	Unknown	Unknown	906182320X	f. 34	7917488
Unknown	Adaption of migrants from the Caribbean in theEuropean and American metropolis : a selection of papers presented at a symposium of the 34th Annuelconference of the American association of appliedanthropology, Amsterdam March 1975	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7941080
Unknown	Additional information about latest Apeldoorn studies	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7931471
Unknown	Adé, Georges — De grote boodschap	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Antwerpen : Pink Editions & Productions, 1977. —158, 12 p. partituur : ill. ; 26 cm. Bevat tevens : De bakchanten	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	f. 42.50	7908272
Unknown	Adema, H. — Tussen hemel en aarde : rede, uitgesproken bij de aanvaarding van het ambt van hoogleraar in de luchthygiëne en luchtverontreiniging aan de landbouwhogeschool te Wageningen op 27 september 1979	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7950587
Unknown	Adeney, David — Christenstudenten tijdens de revolutie	Unknown	Unknown	Unknown	Unknown	Unknown	9060640888	f. 16.90	7950063
Unknown	Adler, David A. — Langzaam maar zeker	Unknown	Unknown	Unknown	Unknown	Unknown	9021506939	f. 7.90	7947056
Unknown	Adler, Warren — De Transsiberische expres : roman	Unknown	Unknown	Unknown	Unknown	Unknown	9026120982	f. 29.50	7902230
Unknown	Adler, Warren — De Transsiberische expres : roman	Unknown	Unknown	Unknown	Unknown	Unknown	9026120982	f. 29.50	7911054
Unknown	Administratie voor het mbo	Unknown	Unknown	Unknown	Unknown	Unknown	902362162X	f. 25	7941195
Unknown	Unknown	Administratief rekenen	oefen-en instruktieboek ten dienste van het mhno.	Unknown	1	Unknown	9022740528	f. 4.40	7970466
Unknown	Administratieve automatisering	Groningen	Wolters-Noordhoff. Dl. 1B.	Unknown	69	30 cm	9001667414	f. 6.75	7918261
Unknown	Unknown	Alphen aan den Rijn	Samsom. 1979.	Unknown	197	22 cm	9014028091	f. 19.50	7918153
Unknown	Unknown	Alphen aan den Rijn	Samsom. 1974	Unknown	171	22 cm	9014028083	f. 25	7918152
Unknown	Adoptie van buitenlandse kinderen	Nijkerk	Callenbach	1979	167	21 cm	9026616562	f. 24.50	7925348
Unknown	Adoptie van kinderen uit verre landen	Deventer	Van Logbum Slaterus	1979	235	21 cm	9060015657	f. 29.50	7935134
Unknown	ADR lezingen	['s-Gravenhage]	[Ministerie van binnenlandse zaken]. nr. 77	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Zwolle	Tijl data press	1979	149	22 cm	9060430131	f. 83.20	7941378
Unknown	Unknown	Zwolle	Tijl	1979	244	22 cm	906043014X	f. 83.20	7948019
Unknown	Unknown	Zwolle	Tijl data press	1979	180	22 cm	9060430123	f. 83.20	7941377
Adresboek voor milieuhygiëne, veiligheidstechniek en recuperatie.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	9060430093	f. 78	7911416
Unknown	Unknown	's-Gravenhage	Stichting Doof-blinden	1979	23	21 x 30 cm	N/A	Unknown	7938350
Unknown	Adreslijst Nederland en de Derde Wereld	Den Haag	Voorlichtingsdienst ontwikkelingssamenwerking van het Ministerie van buitenlandse zaken	1978	63	21 cm	N/A	Unknown	7913345
Unknown	Adreslijst universiteiten en hogescholen : Academische Raad, colleges van bestuur, universiteitsraadhogeschoolraad, algemene diensten, hoogleraren, lectoren, docenten (en onderwijsopdrachten), privaatdocenten : publ.	's-Gravenhage	Staatsuitgeverij. 1979.	Unknown	337	20 cm	9012025508	f. 19.50	7938251
Unknown	Adressenlijst van de instellingen voor maatschappelijk werk	's-Hertogenbosch	Joint. 1979.	Unknown	24	21 cm	N/A	f. 3	7935072
Adriaanse, H. J.	Spiritualiteit	Utrecht	Remonstrantse broederschap	1979	72	23 cm	N/A	f. 9.50	7920015
Adriaensens, Rob	Pan zonder fluit	Antwerpen ; Amsterdam	Standaard	1979	141	20 cm	9002140347	f. 20.50	7930403
Unknown	Adult beginners' course : leergang Engels voor volwassenen	Culemborg	Educaboek [etc.]. 1.-Cop. 1978.	Unknown	211	23 cm	9011851447	f. 7.50	7905046
Adult beginners course, Enkele examenopgaven bij.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	9011851943	f. 3.90	7935266
Unknown	Advanced technobiology	Alphen aan den Rijn	Sijthoff & Noordhoff	1979	703	25 cm	9028602992	f. 112	7948176
Unknown	Advances in Andean archaeology	The Hague [etc.]	Mouton ; Chicago	Unknown	580	24 cm	9027975507	Unknown	7950066
Unknown	Unknown	Amsterdam [etc.]	Swets &Zeitlinger	1978	468	25 cm	9026502737	f. 65	7949619
Unknown	Advances in fuzzy set theory and applications	Amsterdam [etc.]	North-Holland	1979	753	23 cm	0444853723	f. 150	7956031
Unknown	Advances in holomorphy : proceedings of the Semináriode holomorfia, Universidade federal do Rio de Janeiro, 26-28 September, 1977	Amsterdam [etc.]	North-Holland	1979	766	24 cm	0720419654	f. 140	7910357
Unknown	Unknown	New YorkAmsterdam [etc.]	North-Holland. I / ed. Gunther L. Eichhorn	Unknown	261	25 cm	0444003231	f. 50.25	7925191
Advances in psychology.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in research and technology of seeds	111 p. ;23 cm. Lit. opgn. ISBN 90-220-0692-1	f. 28.60 7923283	Unknown	Unknown	Unknown	9022006921	f. 28.60	7923283
Unknown	Advances in the biochemistry [and] physiology of plant lipids : proceedings of the symposium on recent advances in the biochemistry and physiology of plantlipids held in Göteborg, Sweden, August 28-30, 1978	Amsterdam [etc.]	Elsevier-North-Holland	1979	461	25 cm	0444801294	f. 125	7930231
Unknown	Advances in the study of societal multilingualism	The Hague [etc.]	Mouton	1978	842	24 cm	9027977429	Unknown	7903624
Unknown	Adventure in Holland : an original story	Zutphen	Thieme	1197	140	20 cm	9003352615	f. 7.80	7921173
Unknown	Unknown	's-Gravenhage	Staatsuitgeveri .3	Unknown	99	27 cm	9012022509	f. 20	7905220
Unknown	Unknown	's-Gravenhage	Staatsuitgeverij	1976	18	20 cm	9012012309	f. 3	7945345
Unknown	Unknown	's-Gravenhage	Staatsuitgeverij. 6	Unknown	1978	20 cm	9012023599	f. 10	7909116
Unknown	Unknown	's-Gravenhage	Staatsuitgeverij. 6	Unknown	110	20 cm	9012026628	f. 7.50	7952156
Unknown	Advies : plan van scholen 1979-1981	[Rotterdam]	Openbaar lichaam Rijnmond	1978	24	30 cm	N/A	Unknown	7918129
