Author	Title	City	Publisher	Year	Pages	Size	ISBN	Price	Product number
Unknown	A Paris	Zutphen	Thieme	1978	25	30 cm	9003285004	f. 5.20	7905126
Unknown	A Paris	Zutphen	Thieme	1979	25	30 cm	9003285004	f. 5.20	7938217
Unknown	Unknown	A +	aardrijkskunde.	Unknown	15	22 cm	902571112X	f. 3.25	7924032
Aa, A. J. van der	Aardrijkskundig woordenboek der Nederlanden	Zaltbommel	Europese Bibliotheek.Fotomechanische herdruk. Dl. 1	Unknown	136	18 cm	N/A	f. 55	7928260
Aafjes, Bertus	Kleine Isar, de vierde koning : halleluja, de wonderbaarlijke geschiedenis van de kleine Isar en zijn ezeltje, halleluja	Amsterdam	Meulenhoff	1979	217	14 x 21 cm	9029012323	f. 25	7956335
Aafjes, Bertus	Het koningsgraf : honderd en een sonnetten	Bussum	Agathon	1979	119	19 cm	9026956436	f. 9.90	7931389
Aafjes, Bertus	Een ladder tegen een wolk	Amsterdam	Querido	1979	158	19 cm	902149468X	f. 6.20	7926190
Aafjes, Bertus	Limburg, dierbaar oord	Amsterdam	Meulenhoff	1979	Unknown	Unknown	9029007915	f. 26.50	7927311
Aafjes, Bertus	Het rozewonder : verhalen	Amsterdam	Meulenhoff	1979	157	20 cm	N/A	Unknown	Unknown
Aafjes, Bertus	Een voetreis naar Rome	Amsterdam	Meulenhoff	1979	106	29 cm	9029009098	f. 24.50	7931019
Aalbers, P. G.	Het einde van de horigheid in Twente en Oost-Gelderland 1795-1850	door P. G. Aalbers.-Zutphen	Walburg Pers	1979	284	24 cm	9060114132	f. 36	7946190
Aalbers, Paul Gerard	Het einde van de horigheid in Twente en Oost-Gelderland 1795-1850	Zutphen	Walburg pers	1979	284	24 cm	9060114132	f. 36	7945388
Aalbregtse, M. A.	Oostburg in oude ansichten	Zaltbommel	Europesebibliotheek	1979	78	16 x 21 cm	N/A	f. 25.90	7956058
Aalders, G. J. D.	De grote vergissing : kerk en staat in het begin van de vierde eeuw	Kampen	Kok	1979	162	22 cm	9024200024	f. 19.90	7951612
Aalders, W.	Wet, tragedie, evangelie : een andere benaderimg van het boek Job	Den Haag	Voorhoeve	1979	391	21 cm	9029705701	f. 49.90	7955239
Aalfs, J. A.	Populair zakboek S.I.-eenheden : met formules en tabellen verklaard en toegepast	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Aalfs, T. Doedens.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	9022755436	f. 9.85	7970457
Aalst, Annie van	Stijfkopje omnibus	Dronten	Casterman	1978	220	22 cm	9030370084	f. 10.90	7910327
Unknown	Aan tafel bij Moeder Aarde : recepten uit de Werfkring	Unknown	Unknown	Unknown	Unknown	Unknown	9010022293	f. 14.90	7905476
Unknown	Unknown	's-Gravenhage	Staatsuitgeverij	1979	24	28 cm	N/A	Unknown	Unknown
Unknown	Aanbevelingen over milieu-effectrapportage op grond van proefnemingen en aanvullend onderzoek	's-Gravenhage	Staatsuitgeverij	1979	141	28 cm	9012025257	f. 20	7926112
Unknown	Aandachtspunten voor de woonomgeving : ontwerp : studierapport met een voorstel voor zogenaamde aandachtspunten voor de woonomgeving, te gebruiken bij de ontwikkeling en de beoordeling van woonmilieus in volkshuisvestingsplannen, zowel in nieuwbouw als in stadsvernieuwingssituaties	[8] p. ; 30 cm. & 4 bijl. ([161 p.	ill.). ISBN 90-12-02198-7	Unknown	Unknown	Unknown	9012021987	f. 17.50	7938262
Unknown	Unknown	Zele Reinaert ; Gent	Het Volk. Met 'collants' Pompondiertjes	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Zwolle	Tijl	1978	576	22 cm	9060430107	f. 83.20	7911414
Unknown	Aantekeningen bij de begroting 1980 van Justitie, Volksgezondheid en CRM	Amsterdam	Raad voor de jeugdvorming	1979	38	30 cm	N/A	Unknown	7951395
Unknown	Aanvoer en behandeling van tankmelk : rapport	99 p.	grain.	Unknown	Unknown	Unknown	N/A	Unknown	7910459
Unknown	Aanvullend advies inzake financieringsalternatieven voor de kosten van huisvesting en verzorging in bejaardenoorden	's-Gravenhage	Staatsuitgeverij	1978	12	30 cm	9012024374	f. 3.50	7913196
Unknown	Aanvullend advies inzake kerncentrales en volksgezondheid	's-Gravenhage	Staatsuitgeverij	1978	225	27 cm	901202367X	f. 27.50	7909110
Unknown	Aanvullende gegevens voor schooldekanen, beroepskeuze-adviseurs, voorlichtingsfunctionarissen	's-Gravenhage	Nederlandse vereniging ter bevorderingvan het levensverzekeringswezen	1977	15	20 X 20 cm	N/A	Unknown	7910381
Unknown	Unknown	Zutphen	Thieme. Marie à Paris Marie à Paris Patrice Un peu de francais Un peu de francais Un peu de frangais Qu'as-tu fait? Variations francaises Vive les vacances Vive la lecture	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Den Haag	Nederlands Bibliotheek en Lektuur Centrum. Periode 1975-1977.	Unknown	69	24 cm	N/A	Unknown	Unknown
Unknown	Unknown	Aanvullingen en verbeteringen ([1] p.).ISBN 90-6252-195-9	f. 15.08 7921261	Unknown	Unknown	Unknown	9062521959	f. 15.08	7921261
Unknown	Unknown	Koninklijke musea voor kunst en geschiedenis	1964-1973.	Unknown	108	24 cm	N/A	Unknown	Unknown
Unknown	Unknown	Alphen aan den Rijn	Stafleu.Nr. 6	Unknown	196	26 cm	9060163605	f. 97.50	7938288
Unknown	Aanwinsten rapporten	Amsterdam	Mathematisch Centrum	1978	40	29 cm	N/A	Unknown	7910486
Unknown	Aanzet tot een integraal beleidskader voor de Nederlandse Antillen in de jaren tachtig : rapport	281 p.	ill. ; 24 cm.Lit. opg. ISBN 90-12-02625-3	Unknown	Unknown	Unknown	9012026253	f. 30	7943083
Unknown	Aanzien , Het ; De vorstenhuizen : dynastieën die bleven en die verdwenen	Utrecht[etc.]	Spectrum	1979	216	26 cm	9027493049	f. 14.95	7926151
Unknown	Aarde , De, je leven	Amsterdam	Arcanum ; Boxtel	Unknown	285	30 cm	9061390176	f. 35	7918034
Unknown	Unknown	Groningen	Wolters-Noordhoff. Regiones selectae 6	Unknown	46	24 cm	9001364578	f. 7.70	7930223
Unknown	Aardewerk-, baksteen-en dakpannenindustrie	36 p.	tabn. ; 29 cm. (Produktiestatistieken) f. 10.50 7916294 1977.	Unknown	33	30 cm	N/A	f. 8.95	7916294
Unknown	Aardrijkskunde in thema's en regio's	Culemborg	Educaboek [etc.].Dl. 2.	Unknown	147	25 cm	9011878566	f. 5.95	7954444
Unknown	Aardrijkskunde : methode voor de eerste drie jaren mavo, havo en vwo	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Amsterdam : Versluys. Docentenschriften 1	70 p.	ill. ; 24 cm. ISBN 90-249-1125-7	Unknown	Unknown	Unknown	9024911133	f. 13	7902419
Unknown	Unknown	Amsterdam	Standaard. 'n Kik op de werelddelen	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Aardrijkskundig werk-en leerboek voor het voortgezet onderwijs.	173 p.	ill. ; 22 cm.ISBN 90-01-09798-7	Unknown	Unknown	Unknown	9001097987	f. 19.50	7941113
Unknown	Unknown	Arnhem	Noorduijn	1979	148	25 cm	9020302647	f. 8.40	7939206
