Author	Title	City	Publisher	Year	Pages	Size	ISBN	Price	Product number
Unknown	Aanwinsten in de inwendige geneeskunde	Leuven (België)	Uitgeverij Acco	1974	212	21 x 18	N/A	fl. 27.50	7504635
Unknown	Aanzien 40-45	]	Amsterdam Boek (Wibautstraat 129)	1975	216	Unknown	N/A	fl. 9.50	7508281
Unknown	Aanzien, Het, van 1974	]	Amsterdam Boek (Wibautstraat 129)	1974	240	24 x 17	N/A	fl. 7.95	7505094
Unknown	Aarde, De, is er ook nog	a]	Wageningen, Zomer & Keuning	1974	205	20 x 13	9021046113	fl. 18.90	7502775
Unknown	Aarde, De, onze woonplaats	Gron	Wolters-Noordhoff	1975	196	24 x 16	N/A	fl. 6	Unknown
Unknown	Aarde, De, vanuit de ruimte	Bussum]	Romen	1975	218	Unknown	9022825256	fl. 19.50	7516971
Aardenburg Jr., A. van	Bas Banning en de malle Maharadja	De Bilt	De Fontein	1974	125	Unknown	9026111797	fl. 5.90	7502917
Unknown	Aardenburg Bas Banning en de meesterspion	De Bilt	De Fontein	Unknown	127	20 x 13	9026111800	fl. 5.90	7502918
Unknown	Aardewerk-, baksteen-en dakpannenindustrie	's-Gravenh	1972 en 1973	1973	34	29 x 20	N/A	fl. 6	7528378
Unknown	Aardolie en aardgas	's-Hertogenb	L	Unknown	64	Unknown	9020891324	fl. 6.50	7512194
Aardoom, L., D. L. F. van Loon and T. J. Poelstra	The astrometric procedure of satellite plate reduction as applied at the Delft geodetic institute	(België), Amst	Standaard Uitgeverij	1975	26	Unknown	N/A	fl. 16	7528116
Unknown	Aardrijkskundige bronnenboeken	Gron	Wolters-Noordhoff	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Aart, Petrus Jozef Maria van der	De verspreiding van wolfspinnen in een duingebied, geanalyseerd met behulp van multivariate methodieken	II, 132 blz	m	1975	132	Unknown	N/A	Unknown	7510534
Aarts, Jack W.	Antitrust policy versus economic power	Leiden	H	1975	442	Unknown	9020704737	fl. 69	7507742
Aarts, Jacobus Wilhelmus Leonardus Theodorus	Antitrust policy versus economic power	Leiden	H	1975	442	Unknown	9020704729	fl. 69	7507706
Abdelhafeez, A. T., H. Harssema and K. Verkerk	Effects of air temperature, soil temperature and soil moisture on growth and development of tomato itself and grafted on its own and egg-plant rootstock	Wageningen	Afdeling tuinbouwplantenteelt van de Landbouwhogeschool (Salverdaplein 10)	1975	9	24 x 17	N/A	Unknown	7528230
Unknown	Abdijen en begijnhoven van België	[Brussel (België)	Historia (Generaal Gratrystraat 19)]	Unknown	89	26 x 24	N/A	Unknown	7506401
Abeele, Paul vanden, [en] Walter Baes	Brugge, levende stad	Brugge (België), Orion; 's-Gravenh	Scheltens & Giltay	Unknown	246	Unknown	9026408188	fl. 40.75	7516822
Abeelen, Marc J. van den,	Systèmes fiscaux africains	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Abeels, Gustaaf	Brussel rond de eeuwwisseling	Zaltbommel	Europese Bibliotheek	1974	152	29 x 22	N/A	fl. 42.50	7504843
Abeels, Gustaaf	Ninove in oude prentkaarten	Zaltbommel	Europese Bibliotheek	1974	80	15 x 21	N/A	Unknown	7504667
Unknown	Abel, Het, spel Vanden winter ende vanden somer ende ene sotternie 'Rubben' na volghende, voorafgegaan door de fragmenten Ene sotte hoerde 'Drie daghe here' ende ene goede sotternie 'Truwanten'	Zutphen	W	1751	114	Unknown	N/A	fl. 14.50	Unknown
Abels, F.,	Lijmen van thermoplastische kunststoffen	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Abels, J.	Een zestigtal examenopgaven Nederlands-Engels	Gron	Wolters-Noordhoff	1975	94	21 x 14	N/A	fl. 6.60	Unknown
Unknown	Abenteuer in Hakendorf	Zutphen	W	1975	59	20 x 13	N/A	fl. 4.50	Unknown
Unknown	Abenteuer von heute	's-Hertogenb	L	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Abkoude, Chr. van	Kruimeltje	Alkmaar	Kluitman	1974	168	23 x 16	9020620045	fl. 7.90	7503391
Abkoude, Chr. van	Kruimeltje	Alkmaar	Kluitman	1975	168	23 x 16	9020620045	fl. 7.90	7511023
Abkoude, Chr. van	Pietje Bell	Alkmaar	Kluitman	Unknown	159	17 x 11	9020610333	fl. 2.75	7511057
Abraham, Cyril	De Onedin lijn	190 blz	m	Unknown	190	20 x 13	9020401068	fl. 16.90	7504768
Abraham, G.	Jets and plumes issuing into stratified fluid	R	August 29-31 (1972)	1411	32	29 x 21	N/A	Unknown	7527866
Unknown	Abraham, Theoretische beschouwingen over zoutbestrijding bij schutsluizen door luchtbellengordijnen	Delft	Delft hydraulics laboratory (Raam 61) 1974 [1975]	1975	Unknown	29 x 21	N/A	Unknown	7527863
Unknown	Abraham, Theoretische beschouwingen over zoutbestrijding bij schutsluizen door luchtbellengordijnen	Delft	Delft hydraulics laboratory (Raam 61) 1974 [1975]	1975	Unknown	29 x 21	N/A	Unknown	7527863
Abraham, en H. Ligteringen	Warmteverspreiding in oppervlaktewater: door lozing beinvloede gebied	Delft	Delft hydraulics laboratory (Raam 61) 1975	1975	38	29 x 21	N/A	Unknown	7526264
Abraham, Werner	A linguistic approach to metaphor	Lisse	The Peter de Ridder Press (postbus 168)	1975	54	24 x 16	N/A	fl. 6	7517367
Abraham-Inpijn, Louise	Primair levercarcinoom en foetoproteinen	Amst	Rodopi (Keizersgracht 302-304)	1975	222	23 x 16	N/A	fl. 50	7516777
Abspoel, J. J., [en] J. H. Riemens	Tuinieren zonder tuin	[Helmond]	V	Unknown	96	22 x 16	9025265243	fl. 12.50	7516446
Unknown	Academische paperbacks	Utr	Oosthoek, Scheltema & Holkema	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Academische, De, Raad	Ps-Gravenh	Afdeling voorlichting van de 	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Academische Raad (Javastraat 36)	Leiden	A	1975	19	24 x 16	N/A	Unknown	7530176
Achesone, James	The military garden [02] instructions for all young souldiers, and such who are disposed to learne, and have knowledge of the militarie discipline	Amst	Theatrum Orbis Terrarum, 1974	1974	36	20 x 15	9022106373	fl. 47.50	7514906
Achten, J., A. Dreef en A. Hendrix	Een bedrijfsorganisatorische vergelijking van enige produktiesystemen bij potchrysanten	Wageningen	Instituut voor mechanisatie, arbeid en gebouwen (Mansholtlaan 10-12)	1975	71	24 x 16	N/A	fl. 7.50	7526089
Achterhuis, Hans	Filosofen van de derde wereld	Bilthoven	Ambo	1975	127	21 x 12	9026320035	fl. 9.75	7512737
Unknown	ACS-EEG-overeemkomst van Lomé	[Luxemburg, Bureau voor officiële publikaties der Europese Gemeenschappen (Postbus 1003); 's-Gravenh	Staatsuitgeverij	Unknown	357	21 x 15	N/A	Unknown	7511993
Unknown	Acta cartographica	Amst	Theatrum Orbis Terrarum	1800	498	25 x 18	9022111288	fl. 235	7511975
Unknown	Acta conventus neo-latini Lovaniensis	Leuven (Belgium)	University Press	1971	769	Unknown	N/A	Unknown	7509037
Unknown	Acta et symbola conciliorum quae saeculo quarto habita sunt	Leiden	E	1974	138	20 x 14	N/A	fl. 20	Unknown
Unknown	Acta historiae Neerlandicae	Slicher van Bath	Johanna A	1974	265	24 x 16	9024716268	fl. 70.20	7502747
Unknown	Acta iranica	Leiden	E	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Acta leidensia	IV, 193 blz	m	1975	193	24 x 16	N/A	Unknown	7527412
Unknown	Acta paedagogica ultrajectina	Gron	H	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Actas do IV congresso de estudos árabes e islámicos	[Apresentacäo do	Avant-propos de, Foreword by Antonio Manuel Dias Farinha]	1968	663	26 x 19	N/A	fl. 130	7510721
Unknown	Actes et documents de la douzième session [de [al Conférence de La Haye de droit international privé, 2 au 21 octobre 1972	La Haye	Imprimerie Nationale	1972	150	29 x 20	902602598X	fl. 80	Unknown
Unknown	Activities, The, of the Centre for development planning	(België), Amst	Standaard Uitgeverij	1975	10	20 x 14	N/A	fl. 4.65	7527778
Unknown	Actuele criminologie	Assen	Van Gorcum & Comp	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Ad Gerritsen	29 blz	m	1975	29	21 x 15	N/A	Unknown	7517967
Adama van Scheltema, Carel Steven	Er ging iets moois voorbij	Hasselt (België)	Heideland -Orbis; [Heerlen, Zuider Boekcentrale	Unknown	79	18 x 11	902913710X	fl. 4.90	7502004
Adama Zijlstra, A.	Vaar wel Scheveningen! Bonte herinneringen aan een badplaats	Leiden	A	1974	368	20 x 12	9021803240	fl. 19.50	7502895
Adams, Ernest W.	The logic of conditionals	Dordrecht	D	1975	155	23 x 16	902770631X	fl. 55	7517286
Adams, Richard	Waterschapsheuvel	Utr	Het Spectrum	1975	448	Unknown	9027408114	fl. 7.95	7516946
Adams, Richard & Max Hooper	Rond het jaar in bos, veld en beek	Utr	Het Spectrum	Unknown	107	Unknown	9027483000	fl. 17.50	7513840
Adang, A., [en] F. E. M. Versauteren	Mensen en machten	Amst	Meulenhoff Educatief	1975	184	Unknown	9028002133	fl. 32.50	7511983
Unknown	Adelt arbeid? Amst		Rooie Vrouwen in de Partij van de Arbeid (Tesselschadestraat 31)	1975	9	Unknown	N/A	Unknown	7517032
Adema, W.	Oosterwolde in oude ansichten	Zaltbommel	Europese Bibliotheek	1975	Unknown	15 x 21	N/A	fl. 21.90	7514024
Adenide arabinoside	an antiviral agent	New York, Raven Press; Amst	North-Holland Publishing Company	1975	425	Unknown	N/A	fl. 62	7515842
Ader-Appels, J. A.	Een Groninger pastorie in de storm	366 blz	m	1974	366	Unknown	N/A	fl. 19.50	7504041
Adler, Irving	Zo denken machines	Part	prijs opgeheven	Unknown	Unknown	Unknown	N/A	Unknown	7515755
Unknown	Administratieve gids met werkschema voor bijzondere scholen voor kleuteronderwijs	Unknown	Unknown	1975	156	Unknown	N/A	fl. 18.75	Unknown
Unknown	Administratieve gids met werkschema voor bijzondere scholen voor basisonderwijs	181 blz	m	1975	181	Unknown	N/A	fl. 14.75	Unknown
Unknown	Administratieve technieken en hulpmiddelen	Culemborg	Stam-Robijns	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Adolfs, Robert	Is er dan niets meer heilig? Over de voortdurende verandering in onze cultuur	Amst	Contact	Unknown	138	20 x 13	9025420346	fl. 18.50	7511548
Unknown	Adresboek [van del Koninklijke Belgische voetbalbond	[Gent (België)	Vyncke (Savaanstraat 92)1	1975	599	21 x 14	N/A	Unknown	7511991
Unknown	Adresboek voor milieuhygiëne, veiligheidstechniek en recuperatie	Amst	Diligentia (Tesselschadestraat 18-20-22)	Unknown	388	Unknown	N/A	fl. 75	7504181
Unknown	Adreslijst universiteiten en hogescholen	's-Gravenh	Staatsuitgeverij	1975	271	Unknown	N/A	fl. 15.50	Unknown
Adriaanse, D. J.	Model voor het beschrijven van veranderingen van organisaties	[Delft]	Delftse Uni Pers	1975	32	22 x 15	9029845015	fl. 5	7511834
Unknown	Adriaansens, H	M	H	1975	98	Unknown	N/A	fl. 12.50	7512772
Adriaens, F.	De oude volkeren van het Nabije Oosten en van Griekenland	178 blz	m	Unknown	178	22 x 16	9028996575	Unknown	7511465
Adriaens, M.	Literatuurwetenschap en linguistiek	VI, 98 blz	m	1973	98	Unknown	N/A	fl. 13.50	7504621
Adriaensen, Sidney	Waterskien	Amst	J	1975	28	Unknown	9029460693	fl. 3.75	7509846
Adriani, Marcus Jan	Sur la phytosociologie la synécologie et le bilan d'eau de halophytes	Amst	A	1974	217	25 x 16	N/A	fl. 60	7510588
Adrichem, P. van,	begeleiding	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Adult episodes in Japan	Leiden	E	1975	90	Unknown	N/A	fl. 36	Unknown
Unknown	Advance of phycology in Japan	The Hague	Dr	1975	355	25 x 17	N/A	fl. 80	7506239
Advanced textbooks in economics. Editor	C	Amst	North-Holland Publishing Company	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in acute leukaemia	Amst	North-Holland Publishing Company	1974	301	25x 17	N/A	fl. 88.40	7503845
Unknown	Advances in beta-adrenergic blocking therapy-sotalol	Rome	Italy; 29-31 May, 1974	1974	528	24 x 16	9021902754	fl. 114.40	7507289
Advances in biochemical psychopharmacology. Series editors	Erminio Costa and Paul Greengard	New York, Raven Press; Amst	Noord -Hollandsche 13	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in chromatography	Amst	Elsevier Publ	1974	772	Unknown	N/A	fl. 166.40	7502478
Advances in cyclic nucleotide research. Series editors	Paul Greengard [and] G	Amst	North-Holland Publ	1974	872	Unknown	N/A	fl. 62	7510793
Advances in neurology. Advisory board	Konrad Akert	Amst	North-Holland Publishing Company	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in research and technology of seeds	Wageningen	Centre for agricultural publishing and documentation Pudoc	1975	84	23x15	902200547X	fl. 36.40	7528300
Unknown	Adventus Domini	Bussum	Paul Brand	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advies aan de Minister van onderwijs en wetenschappen inzake de instroming van tweede nieuwe lerarenopleidin--graadsabituriënten van de gen in de M	's-Gravenh	Staatsuitgeverij	Unknown	24	20 x 14	N/A	fl. 2	Unknown
Unknown	Advies betreffende de premie voor de algemene ver bijzondere ziektekosten in 1976	Amstelveen	Ziekenfondsraad (Prof	1976	24	24 x 16	N/A	Unknown	7527490
Unknown	Advies bovennationale besluitvorming	's-Gravenh	Staatsuitgeverij]	1974	34	24 x 14	N/A	fl. 2.79	Unknown
Unknown	Advies De toekomstige beschikbaarheid van metallische mineralen	's-Gravenh	Staatsuitgeverij]	1975	48	Unknown	N/A	Unknown	Unknown
Unknown	Advies evaluatie halverwege	's-Gravenh	Staatsuitgeverij	Unknown	43	24 x 14	N/A	fl. 3.60	Unknown
Unknown	Advies gewaardeerd ondernemersloon	's-Gravenh	Raad voor het midden-èn kleinbedrijf (Eisenhowerlaan 104)	1975	25	21 x 15	N/A	Unknown	7528202
Unknown	Advies inzake behoefte aan vroedvrouwen	Leidschendam, Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1975	105	29 x 21	N/A	fl. 8.80	Unknown
Unknown	Advies inzake centrale waterontharding	[Uitgebracht] aan de Minister en de Staatssecretaris van volksgezondheid en milieuhygiëne [door de] Gezondheidsraad	[Commissie centrale waterontharding	1975	26	30 x 21	N/A	fl. 3.80	Unknown
Unknown	Advies inzake de algemene vaccinatie van zuigelingen tegen pokken	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); Ps-Gravenh	Staatsuitgeverijl	1975	18	29 x 21	N/A	fl. 2	Unknown
Unknown	Advies inzake de door de regering voorgestelde vermogensaanwasdeling	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	24	29 x 20	N/A	Unknown	7526166
Unknown	Advies inzake de financiële positie van langdurig werklozen	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	21	29 x 20	N/A	Unknown	7528024
Unknown	Advies inzake de financiering van de maatschappelijke gezondheidszorg	Leidschendam, Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12)1; 's-Gravenh	Staatsuitgeverij	1974	36	29 x 20	N/A	fl. 3.37	Unknown
Unknown	Advies inzake de inrichting van parttime opleidingen leraren tweede en derde graad	's-Gravenh	Staatsuitgeverij]	1975	43	20 x 14	N/A	Unknown	Unknown
Unknown	Advies inzake de medisch-ethische en de juridische aspecten van de orgaantransplantatie	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1975	28	30 x 21	N/A	fl. 3.70	Unknown
Unknown	Advies inzake de opneming van gehandicapten in het arbeidsproces	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	50	29 x 20	N/A	Unknown	7526004
Unknown	Advies inzake de structuur en de werkwijze van de Kamers van koophandel en fabrieken	's-Gravenh	Raad voor het midden-en kleinbedrijf (Eisenhowerlaan 104)	1975	60	21 x 15	N/A	Unknown	7528291
Unknown	Advies inzake de toelating van het nucleaire schip „Otto Hahn" en de daaraan te verbinden voorwaarden	's-Gravenh	Staatsuitgeverij	1975	9	30 x 21	N/A	fl. 3.50	Unknown
Unknown	Advies inzake de vaccinatie tegen influenza	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1975	7	30 x 21	N/A	fl. 2	Unknown
Unknown	Advies inzake de vastelling van criteria voor methoden en apparatuur voor het bepalen van verontreinigingen in de buitenlucht	Leidschendam, Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1975	20	29 x 21	N/A	fl. 2	Unknown
Unknown	Advies inzake de vaststelling van grenswaarden voor roet, zwevend stof en zwavelzuur	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); [s-Gravenh	Staatsuitgeverij	1975	10	29 x 21	N/A	fl. 4	Unknown
Unknown	Advies inzake diagnostische centra	Leidschendam, Ministerie van Volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1974	28	29 x 20	N/A	fl. 6.06	Unknown
Unknown	Advies inzake een bijzondere verhoging van het minimumloon	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	17	29 x 21	N/A	Unknown	7530309
Unknown	Advies inzake euthanasie bij pasgeborenen	IV, 35 blz	m	1975	35	29 x 21	N/A	fl. 6.20	Unknown
Unknown	Advies inzake het innovatieplan middenschool	's-Gravenh	Staatsuitgeverij	Unknown	32	20 x 14	N/A	fl. 2.60	Unknown
Unknown	Advies van 23 december 1974	Unknown	Unknown	1974	13	Unknown	N/A	fl. 1.80	Unknown
Unknown	Advies van 10 april 1975	Unknown	Unknown	1975	72	Unknown	N/A	fl. 6.40	Unknown
Unknown	Advies inzake het invoeren van een vaccinatieplicht en het effect daarvan op de inentingsgraad van de bevolking	Leidschendam, Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1975	16	29 x 21	N/A	fl. 1.70	Unknown
Unknown	Advies inzake het voornemen een regeling te treffen op grond van artikel 18 van de Wet ziekenhuis betrekking tot me--voozieningen (Stb	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); ['s-Gravenh	Staatsuitgeverij]	1975	51	29 x 21	N/A	fl. 4.70	Unknown
Unknown	Advies inzake het voorstel voor een richtlijn van de Raad van de Europese gemeenschappen tot harmonisatie van de wettelijke en bestuursrechtelijke voorschriften van de lidstaten betreffende het behoud van de rechten en voordelen van de werknemers bij fusies van vennootschappen, overdrachten van vestigingen en concentraties van ondernemingen	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	21	29 x 20	N/A	Unknown	7528172
Unknown	Advies inzake maatregelen ter prophylaxe van serum hepatitis	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1975	40	30 x 21	N/A	fl. 3.80	Unknown
Unknown	Advies inzake medisch opvoekundige bureaus	Amstelveen	Ziekenfondsraad (Prof	Unknown	47	29 x 21	N/A	Unknown	7527528
Unknown	Advies inzake methoden ter verbetering van de behandeling van consumentenklachten	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	61	29 x 20	N/A	Unknown	7527892
Unknown	Advies inzake methodologie analysetechnieken	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); 's-Gravenh	Staatsuitgeverij	1974	67	29 x 21	N/A	fl. 5.70	Unknown
Unknown	Advies inzake ontwikkeling van hartchirurgie in Eindhoven	Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12); Ps-Gravenh	Staatsuitgeverij]	1975	18	30 x 21	N/A	fl. 2.60	Unknown
Unknown	Advies inzake opneming mazelenvaccinatie in het vaccinatieprogramma A	Amstelveen	Ziekenfondsraad (Prof	Unknown	Unknown	29 x 21	N/A	Unknown	7529691
Unknown	Advies inzake partiële wijziging van het Veiligheidsbesluit voor fabrieken en werkplaatsen 1938	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1938	19	Unknown	N/A	Unknown	7526006
Unknown	Advies inzake politiek vormingswerk	's-Gravenh	Staatsuitgeverij	1975	20	24 x 17	N/A	fl. 1.70	Unknown
Unknown	Advies inzake toepassing van de A	Uitgebracht aan de Minister van cultuur	recreatie en maatschappelijk werk, de Staatssecretaris van sociale zaken [en] de Staatssecretaris van volksgezondheid en milieuhygiëne door de Ziekenfondsraad	1975	62	Unknown	N/A	Unknown	7527526
Unknown	Advies inzake uitvoering wet ambulancevervoer	Amstelveen	Ziekenfondsraad (Prof	Unknown	Unknown	Unknown	N/A	Unknown	7529366
Unknown	Advies inzake variabele werktijden	's-Gravenh	Sociaal-Economische Raad (Bezuidenhoutseweg 60)	1975	15	Unknown	N/A	Unknown	7530198
Unknown	Advies inzake voorziening in tandheelkundige hulp in bijzondere gevallen	Amstelveen	Ziekenfondsraad (Prof	Unknown	Unknown	Unknown	N/A	Unknown	7527525
Unknown	Advies inzake vroegdiagnostiek van kanker	Leidschendam, Ministerie van volksgezondheid en milieuhygiëne (Dokter Reijersstraat 12)1; 's-Gravenh	Staatsuitgeverij	1975	48	30 x 21	N/A	fl. 4.20	Unknown
Unknown	Advies inzake wijziging premieheffing en toelatingsgrens bejaardenverzekering	Amstelveen	Ziekenfondsraad (Prof	1975	30	Unknown	N/A	Unknown	7527527
Unknown	Advies inzake Wijziging van de Wet ziekenhuisvoorzieningen	Amstelveen	Ziekenfondsraad (Prof	1975	53	29 x 21	N/A	Unknown	7529692
Unknown	Advies inzake wijziging van het landbouwveiligheidsbesluit	]	Sociaal-Economische Raad	1975	44	29 x 20	N/A	Unknown	7530249
Unknown	Advies met betrekking tot de beperking inschrijving eerstejaarsstudenten voor het studiejaar 1975-1976	's-Gravenh	Academische Raad (Javastraat 36)	1975	5	Unknown	N/A	Unknown	7527680
Unknown	Advies met betrekking tot de instroming van M	's-Gravenh	Academische Raad (Javastraat 36)	1975	3	30 x 21	N/A	Unknown	7527684
Unknown	Advies met betrekking tot de onderwijsbevoegdheid van Groningse ingenieurs	's-Gravenh	Academische Raad (Javastraat 36)	1975	2	30 x 21	N/A	Unknown	7526037
Unknown	Advies met betrekking tot het rapport van de Commissie voor de bestuurshervorming inzake de ver wijziging van de Wet universitaire-lenging en de bestuurshervorming (WUB)	's-Gravenh	Academische Raad (Javastraat 36)	1974	11	30 x 21	N/A	Unknown	7527675
Unknown	Advies met betrekking tot het voorontwerp van wet, houdende verlenging van de werkingsduur en wijziging van de Wet universitaire bestuurshervorming (WUB)	's-Gravenh	Academische Raad (Javastraat 36)	1975	18	30 x 21	N/A	Unknown	7527686
