Author	Title	City	Publisher	Year	Pages	Size	ISBN	Price	Product number
Unknown	A la découverte du monde	Cette série	fondée par F	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	A la découverte du monde	Anvers (Belgique), Amst	De Nederlandsche Boekhandel	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Aafjes, Bertus	Arenlezer achter de maaiers	Amst	Em	1975	190	19 x 12	9021493667	fl. 4.90	7511077
Aafjes, Bertus De dikke en de dunne. [Ill.	Mance Post	Amst	Meulenhoff Educatief	1975	48	20 x 14	9028000445	fl. 3.25	7514567
Unknown	Aafjes, De fazant op de klokketoren	Part	prijs opgeheven	Unknown	Unknown	Unknown	N/A	Unknown	7507054
Unknown	Aafjes, De Italiaanse postkoets	Part	prijs opgeheven	Unknown	Unknown	Unknown	N/A	Unknown	7509101
Aafjes, De verborgen schat. [Ill.	Mance Post	Amst	Meulenhoff Educatief	1975	45	20 x 14	9028002545	fl. 3.25	7514566
Aafjes, De verborgen schat. [Ill.	De wereld is een wonder	Part	prijs opgeheven	Unknown	Unknown	Unknown	N/A	Unknown	7507056
Unknown	Aafjes, De zeemeerminnen	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7515207
Unknown	Aafjes, Kito en Poelika	Helmond	U	1975	28	19 x 14	9025245625	fl. 3.25	Unknown
Unknown	Aafjes, Kito vindt Poelika terug	Helmond	U	1975	28	19 x 14	9025245633	fl. 3.25	Unknown
Aafjes, Levende poppen. [Ill.	Mance Post	Amst	Meulenhoff Educatief	1975	47	20 x 14	9028004637	fl. 3.25	7514568
Aaftink, Hendrik Antonius Maria	Afstand van vermogensrechten	Deventer	Kluwer	1974	141	24 x 16	9026807708	fl. 24	7503565
Aaftink, Hendrik Antonius Maria	Afstand van vermogensrechten	Deventer	Kluwer	1974	141	24 x 16	9026807708	Unknown	7508897
Aalbers, A. M. G. M., [en] J. J. van der Woerd-van der Meer	Gezondheid en milieu	; 's-Gravenh	Nijgh & Van Ditmar	Unknown	179	21 x 15	9023621360	fl. 11.50	7512336
Aalberse, Han B.	De liefde van Bob en Daphne	s-Gravenh	Oisterwijk	Unknown	307	20 x 13	N/A	fl. 16.50	7504998
Aalbregtse, M. A.	Het eiland van Cadzand in oude ansichten	Waarin afbeeldingen uit Cadzand	Retranchement en Zuidzande	1975	80	15 x 21	N/A	fl. 21.90	7508479
Aalders, C.	Jung en het mysterie mens	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Aalders, C.	een mens voor deze tijd	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	7513578
Aalders, G. J. D.	De Romeinse staat en het Christendom	24 blz	m	1975	24	21 x 13	9024281504	fl. 3.85	7508352
Aalders H. Wzn., G. J. D.	De oud-Griekse voorstelling van de afgunst der godheid	Amst	Noord -Hollandsche U	1975	21	24 x 16	N/A	fl. 9	7528085
Unknown	Aalders Pilatus en Herodus	Rede	uitgesproken ter gelegenheid van de viering van de 95e dies natalis van de Vrije Universiteit op 24 oktober 1975	1975	24	25 x 18	9024200032	Unknown	7516765
Unknown	Aalders Political thought in hellenistic times	Amst	Adolf M	1975	130	Unknown	9025607381	fl. 38	Unknown
Aalst, G. M. van	Archief van de familie van Assendelft de Coningh 1645-1959	's-Gravenh	Algemeen rijksarchief (Bleijenbu: g 7)	1975	52	Unknown	N/A	Unknown	7526118
Aalst, H. van	Onder martieners en bietsers	Amst	De Arbeiderspers	Unknown	246	20 x 13	9029500123	fl. 24.50	7514725
Unknown	Aan de grenzen der wetenschap	Rott	De Nationale Uitgeverij (Hilledijk 77 - 85)	1975	128	Unknown	N/A	fl. 9.95	7513953
Unknown	Aan de ondernemingsraden te verstrekken economische en financiële inlichtingen	Supplement bij „Mededelingen van het Verbond van Belgische ondernemingen", 2e jrg	nr	1974	60	Unknown	N/A	Unknown	7508972
Unknown	Aanbevelingen voor bedrijfscontrole in de wegenbouw (A	's-Gravenh	Staatsuitgeverij	1975	52	Unknown	N/A	fl. 6.50	Unknown
Unknown	Aantallen onderwijsvragende studenten 1975-1978	's-Gravenh	Afdeling voorlichting van de Academische Raad (Javastraat 36)	1975	24	23 x 16	N/A	Unknown	7530159
Unknown	Aantekeningen - Carp	Leiden	Stichting familievereniging Carp	1974	7	21 x 17	9027110093	fl. 17.50	7506554
Unknown	Aanwezige leerlingen en studenten bij de dagscholen voor beroepsonderwijs in het schooljaar 1974-1975	Voorburg	Centraal Bureau voor de statistiek (Prinses Beatrixlaan 428)	1975	4	30x21	N/A	Unknown	7530223
Unknown	Aanwezigheid en gebruik van autogordels	[Voor Voorburg	Stichting we--woord door E	Unknown	43	Unknown	N/A	Unknown	7529536
