Author	Title	City	Publisher	Year	Pages	Size	ISBN	Price	Product number
Unknown	A bon entendeur...! : textes de comprehension orale	Amsterdam	Meulenhoff Educatief	1977	104	22 cm	9028003126	f. 11.50	8027100
Unknown	Unknown	A + S	architectuur en stedebouw	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	A Paris	Zutphen	Thieme	1980	25	30 cm	9003285004	f. 5.40	8024090
Unknown	Unknown	A +	aardrijkskunde.	Unknown	24	22 cm	902571255X	f. 2.70	8041016
Unknown	A. W. Kort : 1881-1972 : Fries Museum, Leeuwarden, 8 september-21 oktober 1979, Frans Hals Museum, Haarlem, 23 februari-7 april 1980, Museum van Bommel-van Dam, Venlo, 9 januari-23 februari 1981	Leeuwarden	Fries Museum	1979	31	27 cm	N/A	Unknown	8063542
Aa, A. J. van der	Aardrijkskundig woordenboek der Nederlanden	Zaltbomrnel	Europese Bibliotheek. Fotomechanische herdruk. Dl. 10	Unknown	838	18 cm	9028801987	f. 57	8003004
Aa, H. A. van der	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Atriplex and Chenopodium	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Wageningen	Plantenziektenkunclige dienst	1980	267	24 cm	N/A	Unknown	8074345
Unknown	Aad van Houwelingen : notitieboeken, zeefdrukken, open notities en een ruimtelijk boek "Dagen en elementen" : Centraal museum Utrecht 18 oktober-7 december 1980	Wageningen	Plantenziektenkunclige dienst	1980	267	24 cm	N/A	Unknown	Unknown
Unknown	Unknown	Utrecht	Centraal museum	1980	23	30 cm	N/A	Unknown	8075296
Aafjes, Bertus	Morgen bloeien de abrikozen	Amsterdam	Meulenhoff	1980	253	20 cm	9029003464	f. 18.25	8034148
Aafjes, Bertus	Rijmpjes en versjes uit de vrolijke doos	Amsterdam	Meulenhoff	1980	79	31 cm	9029008997	f. 25	8040014
Aafjes, Bertus	Tussen schriftgeleerden en piramiden	Utrecht	Knippenberg	1980	23	29 cm	N/A	f. 2.50	8063193
Aaftink, H.	Leven met bliksem	Amsterdam	Winterthur verzekeringen	1980	64	21 x 21 cm	N/A	f. 13.50	9000154
Aakster, Cor W.	Literatuuronderzoek alternatieve geneeswijzen : overzicht van maatschappelijke en wetenschappelijke aspecten	's-Gravenhage	Staatsuitgeverij	1980	168	28 cm	9012032253	f. 26.50	8048350
Aalbers, Johan	De Republiek en de vrede van Europa : de buitenlandse politick van de Republiek der Verenigde Nederlanden na de vrede van Utrecht (1713), voornarnelijk gedurende de jaren 1720-1733	Groningen	Wolters-Noordhoff/ Bouma's Boekhuis	1980	441	24 cm	9062430155	f. 65	8041393
Aalberse, Han B. (ps. van Johan van Keulen)	Amerikaanse cyclus	's- Gravenhage	Oisterwijk ; [vervolgens] Amsterdam	Unknown	221	21 cm	N/A	Unknown	Unknown
Aalberse, Han B. (ps. van Johan van Keulen)	De liefde van Bob en Daphne	Den Haag [etc.]	Nederlandse Boekenclub	1980	285	21 cm	N/A	f. 26.50	8027011
Aalders, G. Ch.	Het Hooglied	Kampen	Kok	1980	148	21 cm	9024230268	f. 18.90	8021209
Aalders, W.	Het huwelijk : grootheid en verval	Amersfoort	Echo	1979	40	19 cm	N/A	f. 5.50	7971574
Aalst, Ans van	100 vragen over katten	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Utrecht [etc.]	Spectrum	1980	144	19 cm	9027494606	f. 8.30	8047027
Aalst, G. M. van	Archief van de familie Van der Staal van Piershil 1636-1904	's-Gravenhage	Rijksarchief in Zuid-Holland	1978	185	30 cm	N/A	f. 18	8072018
Unknown	Aan de basis : een discussienota over het basisonderwijs	's-Gravenhage	VVD	1977	13	21 cm	N/A	Unknown	8065581
Unknown	Aan de borst of op de fles : ongezonde praktijken rond babymelkpoeder in de Derde Wereld	Groningen	Werkgroep baby-voeding en de Derde Wereld	1979	62	30 cm	N/A	f. 5	8072711
Unknown	Aan tafel met een buitenlander : recepten uit Portugal, Spanje, Italie, Joegoslavie, Griekenland, Turkije en Marokko	Alphen aan den Rijn	Zorn	1978	63	13 x 19 cm	9070111039	f. 4	8074666
Unknown	Aan welke kant staan wij? : plaatsbepaling aan de vooravond van de fusie	Den Haag	Anti revolutionaire partijstichting	1980	28	21 cm	N/A	Unknown	8069642
Unknown	Aanbevelingen ten aanzien van de CIP-reiniging van doseersystemen	Ede	NIZO	1977	16	24 cm	N/A	Unknown	8063988
Unknown	Unknown	Aaneen	weekblad van de Federatie ABVA-KABO.	Unknown	Unknown	46 cm	N/A	Unknown	8063789
Aangium, Sibe van (ps. van H. Steen)	De houtdieven	Den Haag	Voorhoeve	1980	132	22 cm	9029704446	f. 12.50	8027230
Aangium, Sibe van (ps. van H. Steen)	Ontrukt aan de zee	Den Haag	Voorhoeve	1980	69	22 cm	9029700084	f. 7.50	8051186
Aangium, Sibe van (ps. van H. Steen)	De overval	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	8027943
Aangium, Sibe van (ps. van H. Steen)	Het verraad van Simon Ages	Den Haag	Voorhoeve	1980	136	22 cm	9029704454	f. 12.50	8051368
Unknown	Aansluiting buitengewoon onderwijs-basisonderwijs : nu en in de toekomst : eindrapport onderzoeksproject "Aansluiting BuO-BaO" : een empirische studie naar de ervaringen en toekomstverwachtingen van het buitengewoon onderwijs ten aanzien van samenwerking met het basisonderwijs : abbo, svo bs 469	Haren	RION	1980	105	30 cm	N/A	Unknown	8066636
Unknown	Aantekeningen bij de begroting 1980 van Justitie, Volksgezondheid en CRM	's-Gravenhage	Staatsuitgeverij	1979	38	29 cm	9012030277	f. 6.50	8029129
Unknown	Unknown	Aanvaringswetten	wet van 21 maart 1979	Unknown	378	19 cm	9027116717	f. 26.50	8020218
Unknown	Aanvullend structuurschema electriciteitsvoorziening : de ontvangen schriftelijke meningsuitingen : reactienummers 1001 t/m 1205	's-Gravenhage	Staatsuitgeverij	1977	2	29 cm	N/A	Unknown	Unknown
Unknown	Unknown	Zutphen	Thieme. Dans le metro Dans le metro Sigurd Leonardsson	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Alphen aan den Rijn	Stafleu. Nr. 7	Unknown	204	26 cm	9060163761	f. 125	8034117
Unknown	Aanwijzingen voor het optreden bij, ongevallen met gevaarlijke stoffen : bestemd voor brandweer, G.G. en G.D., politie en andere hulpdiensten	2 din. (846 p.) ; 23 cm. In ringband	f. 150.- 8036135	Unknown	Unknown	Unknown	N/A	f. 150	8036135
Unknown	Aanzien 20e eeuw : het wereldnieuws in beeld	Amsterdam	Amsterdam bock	1980	425	27 cm	9027493111	Unknown	8051262
Unknown	Aanzien , Het, van 1979: twaalf maanden wereldnieuws in beeld	Amsterdam	Amsterdam Boek	1980	237	26 cm	9027493073	f. 13.95	8006095
Unknown	Aanzien' 65-70 : vijf jaar wereldnieuws in beeld	[Amsterdam]	Amsterdam Boek	1979	215	26 cm	9027493065	f. 15.95	8004204
Unknown	Aapke , It, Sam earste lesboekje foar de twadde klasse : skreaun foar it Pedagogysk advysburo	Ljouwert	Koperative Utjowerij	Unknown	32	22 cm	9062730418	f. 3	8060017
Unknown	Aarde , De, rond : aardrijkskunde voor lbo en scholengemeenschappen lbo/mavo	124 p.	ill. ; 30 cm. ISBN 90-208-2843-6	Unknown	123	24 cm	9020828436	f. 35	8021289
Unknown	Aardrijkskunde in stereo	Den Bosch	Malmberg	1980	95	22 cm	902083343X	f. 23.50	8033051
Unknown	Aardrijkskunde in stereo, Toelichting bij het gebruik van	Den Bosch	Malmberg	1980	25	22 cm	9020834231	f. 5.25	8033052
