Author	Title	City	Publisher	Year	Pages	Size	ISBN	Price	Product number
Unknown	Aardrijkskunde in thema's en regio's	232 p.	ill. ; 25 cm. ISBN 90-1 1-8785 9-0 geb.	Unknown	Unknown	Unknown	9011878590	f. 5.95	8032004
Unknown	Aardrijkskunde : methode voor de eerste drie jaren mavo, havo en vwo	64 p.	ill. ; 24 cm. ISBN 90-249-1216-4	Unknown	Unknown	Unknown	9024912164	f. 13.50	8015027
Aardweg, Ankie van den	Ineke omnibus	Dronten	Casterman	1980	221	22 cm	9030370173	f. 10.90	8002116
Aarnoudse, Jan Gerard	Oxygen tension in the fetus : continuous measurement of fetal subcutaneous Poe with a needle-electrode : an experiment and clinical investigation	[S.1.]	[s.n.]	1980	101	22 cm	N/A	Unknown	8073092
Aarssen, Paul	Walcheren	Baarn	Van Kampen ; Middelburg	Unknown	36	30 cm	9060912187	f. 12.50	8021253
Aarssen, Bennie van den	Je neus achtema	Bergen op Zoom	Wel	1979	39	21 cm	N/A	f. 5.50	8070408
Aarts, H. J.	Mardoc-onderzoek "Inventarisatie maritieme collecties"	Vlaardingen	Commissie documentatie Nederlandse maritieme collecties	1979	72	30 cm	N/A	Unknown	8066196
Aarts, J. F. M. C.	Onderwijs in Nederland	Groningen	Wolters-Noordhoff	1980	210	24 cm	900100606X	f. 33.25	8034111
Aarts, Jan M. G.	Taalkunde en hedendaags Engels : rede, uitgesproken bij de aanvaarding van het ambt van gewoon hoogleraar in het hedendaagse Engels aan de katholieke universiteit te Nijmegen op 3 oktober 1980	Utrecht	Bohn	Unknown	21	25 cm	9031304638	f. 5	8044236
Aaij, W.	Het Noorderpark : natuurlijke rijkdom en bedreigingen	W. Aaij, J. F. A. Kruse	Stichting Stichtse milieufederatie.	Unknown	48	30 cm	N/A	Unknown	8062833
Abbey, Paul	Maori op klompen : handgemeen met de tegenvoeters	Amsterdam	Arbeiderspers	1980	211	20 cm	9029500182	f. 28.50	8042271
Unknown	ABC der bedrijfsadministratie : een methode ten behoeve van het economisch en administratief onderwijs	Groningen	Wolters-Noordhoff. 1.	Unknown	216	21 cm	9001404448	f. 39.50	8034078
Unknown	ABC , Das, der Grammatik	Zutphen	Thieme	1980	90	21 cm	9003305706	f. 8.10	8008102
Unknown	Unknown	Amsterdam	Arbeiderspers. 46	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	ABC voor werkende jongeren	Amsterdam	NVVjongerencontact	1980	64	16 cm	N/A	Unknown	8072456
Unknown	Abdominal computerized tomography : proceedings of the 2nd Meeting of diagnostic radiology: abdominal CT : Montpellier, France, November 7-10, 1978	Amsterdam [etc.]	Excerpta medica	1979	366	31 cm	9021904039	f. 180	8001431
Abeele, A. van den	Groeiende hartstocht : volledige liefdesroman	Tilburg	Vrijbuiter ; Strombeek-Bever	Unknown	49	28 cm	N/A	f. 1.35	8070775
Abeele, Agnes van den	Haar grootste rivale : volledige liefdesroman	Tilburg	Vrijbuiter ; Strombeek-Bever	Unknown	49	28 cm	N/A	f. 1.35	8070776
Abeels, Gustave	Etterbeek en cartes postales anciennes : t. 2 = Etterbeek in oude prentkaarten : dl. 2	Zaltbornmel	Bibliotheque Europeenne	1980	118	15 X 21 cm	9028807432	f. 30.90	8027090
Abeels, Gustave	Etterbeek en cartes postales anciennes : t. 2 = Etterbeek in oude prentkaarten : dl. 2	Zaltbommel	Bibliotheque Europeenne	1980	118	15 X 21 cm	9028807432	f. 30.90	8027090
Unknown	Abel et Cain	[Amsterdam]	[Printshop]	1976	6	89 cm	N/A	f. 6000	8066114
Aben, Jan	200 wedstrijdtips	Jan Aben, Oscar van Nooten	[tekn. Jef Michielsen	Unknown	98	19 cm	9010033104	f. 11.50	8018124
Unknown	Abgestufte tjbungen zur Deutschen Grammatik	[Kapellen]	Sikkel	1980	172	21 cm	N/A	Unknown	Unknown
Abkoude, Chr. van	Kruimeltje	Alkmaar	Kluitman	1980	168	23 cm	9020620045	f. 9.95	8030341
Abkoude, Chr. van	Nieuwe avonturen van Pietje Bell	Alkmaar	Kluitman	1979	158	18 cm	902061004X	f. 3.25	8030298
Abkoude, Chr. van	Nieuwe avonturen van Pietje Bell	Alkmaar	Kluitman	1979	158	18 cm	902061004X	f. 3.25	8030298
Abkoude, Chr. van	Pietje Bell	Alkmaar	Kluitman	1980	159	18 cm	9020610333	f. 3.25	8030296
Abkoude, Chr. van	Pietje Bell	Alkmaar	Kluitman	1980	159	18 cm	9020610333	f. 3.25	8030296
Abkoude, Chr. van	Pietje Bell gaat vliegen	Alkmaar	Kluitman	1980	159	18 cm	9020610244	f. 3.25	8030300
Abkoude, Chr. van	Pietje Bell gaat vliegen	Alkmaar	Kluitman	1980	159	18 cm	9020610244	f. 3.25	8030300
Abkoude, Chr. van	Pietje Bell in Amerika	158 p	ill. ; 18 cm.	Unknown	Unknown	Unknown	9020610813	f. 3.25	8030302
Abkoude, Chr. van	Pietje Bell in Amerika	Alkmaar	Kluitman	1979	158	18 cm	9020610813	f. 3.25	8030302
Abkoude, Chr. van	Pietje Bell is weer aan de gang	160 p.	ill. ; 18 cm.	Unknown	Unknown	Unknown	9020610422	f. 3.25	8030299
Abkoude, Chr. van	Pietje Bell is weer aan de gang	Alkmaar	Kluitman	1979	160	18 cm	9020610422	f. 3.25	8030299
Abkoude, Chr. van	Pietje Bell's goocheltoeren	Alkmaar	Kluitman	1980	159	18 cm	9020610171	f. 3.25	8030297
Abkoude, Chr. van	Pietje Bell's goocheltoeren	Alkmaar	Kluitman	1980	159	18 cm	9020610171	f. 3.25	8030297
Abkoude, Chr. van	De vlegeljaren van Pietje Bell	Alkmaar	Kluitman	1979	159	18 cm	9020610619	f. 3.25	8030301
Abkoude, Chr. van	De vlegeljaren van Pietje Bell	Alkmaar	Kluitman	1979	159	18 cm	9020610619	f. 3.25	8030301
Abkoude, Chr. van	De zonen van Pietje Bell	Alkmaar	Kluitman	1980	156	18 cm	9020610511	f. 3.25	8030303
Abkoude, Chr. van	De zonen van Pietje Bell	Alkmaar	Kluitman	1980	156	18 cm	902061051	f. 3.25	8030303
Ableman, Paul	Shoestring : prive-detective	Alphen aan den Rijn	Sijthoff	1980	224	21 cm	9021827409	f. 19.50	8045211
Abma, Gerben	Geloof en politiek : confessionele partijvorming in Friesland : ontstaan en eerste jaren (1852-1871)	Leeuwarden	Friese pers	1980	530	24 cm	N/A	Unknown	Unknown
Abma, H. G.	Tien woorden ethiek	Kampen	Kok	1980	168	22 cm	9024210151	f. 22.50	8042401
Abma, Willem	En it barde	De Jouwer [Joure]	Hynsteblom	1980	28	18 cm	N/A	f. 15	8070804
Unknown	ABN , De, en Chili : de steun die een Nederlandse bank sinds 1977 aan Pinochet verleent	Amsterdam	Chili komitee Nederland	1980	31	30 cm	N/A	f. 3.50	8072333
Unknown	Unknown	Lier	Van In. F. Vanhooff	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Abortus	's-Gravenhage	PSVG	1980	19	13 X 17 cm	N/A	f. 1.50	8077463
Unknown	Abraham Hans : de verteller van Vlaanderen	Antwerpen	Vlaamse toeristenbond	1980	20	18 cm	N/A	Unknown	Unknown
Abraham, G.	On the magnitude of interfacial shear of subcritical stratified flows in relation with interfacial stability	Delft	Waterloopkundig laboratorium	1980	273	30 cm	N/A	Unknown	8065709
Abram, I. B. H.	Joodse traditie als permanent leren	Amsterdam	Folkertsma	1980	338	22 cm	N/A	f. 29.50	8072325
Unknown	Abriss der deutschen Literaturgeschichte	Amsterdam	Van Goor	1980	69	19 cm	9010034968	f. 6	8033023
Unknown	Abr-Nahrain : an annual	VIII, 122 p.	krt. ; 25 cm. Lit. opgn.	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Abstract journals on irrigation, drainage and water resources engineering : a selected bibliography	Wageningen	ILRI	1977	47	24 cm	N/A	Unknown	8069797
Unknown	Unknown	II World conference on lung cancer	Copenhagen	Unknown	283	19 cm	9021912430	f. 60	8038161
Unknown	Accomodatie onderzoeken	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Accountantsdag	20 p.	foto's ; 26 cm. f. 9.- 8062746 '76	Unknown	Unknown	Unknown	N/A	f. 10	8062746
Accountantsdag '78, 18 mei-Breda.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	f. 34	8062757
Unknown	Unknown	Amsterdam	Lamp	1980	100	30 cm	N/A	f. 10	8077490
Achen, Gerda	Het geslacht De Grano : avond in Parijs	Amsterdam [etc.]	Zuid- Hollandsche U.M.	1980	320	25 cm	9010029670	f. 28.50	8005092
Unknown	Acht jaar werken aan het streekplan Rivierenland : een globale schets van de voorbereidingsprocedure	Arnhem	[Provinciaal bestuur]	1979	16	30 cm	N/A	Unknown	8061704
Achter, Valeer van	Brief aan onderwijsvemieuwers : over opvoeding en vorming in het vernieuwd secundair onderwijs	Tielt ; Amsterdam	Lannoo	1980	215	23 cm	9020908952	f. 28	8047184
Achterberg, Gerrit	Spel van de wilde jacht	Slijk- Ewijk	Vermeulen	1980	73	22 cm	N/A	f. 25	8070802
Achterberg, Gerrit	Spel van de wilde jacht	Amsterdam	Querido	1980	61	19 cm	9021441276	f. 9.90	8038225
Achterberg, Gerrit	Het weerlicht op de kimmen : een keuze uit de gedichten	Amsterdam	Qurido	1980	167	19 cm	9021450291	f. 23.90	8049082
Unknown	Achtergronden huidige schooltijden in het basisonderwijs in Nederland	's-Gravenhage	Staatsuitgeverij	1980	108	28 cm	901202854X	f. 13	8011306
Unknown	Achtergrondinformatie rond het ontstaan van 't preventieprojekt drugs	Amsterdam	[Stichting Preventieprojekt drugs]	1977	40	30 cm	N/A	Unknown	8074332
Unknown	Unknown	's Gravenhage	Staatsuitgeverij. 1	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Achterhuis, Hans	Filosofen van de Derde Wereld : Frantz Fanon, Che Guevara, Paulo Freire, Ivan Illich, Mao Tse-Toeng	Baarn	Ambo	1980	127	21 cm	9026320035	f. 14.50	8023089
Achterhuis, Hans	De markt van welzijn en geluk : een kritiek van de andragogie	Baam	Ambo	1980	271	21 cm	9026320388	f. 32.50	8023088
Achterhuis, Hans	De markt van welzijn en geluk : een kritiek van de andragogie	Baam	Ambo	1980	271	21 cm	9026320388	f. 32.50	8041069
Achterhuis, Hans	De markt van welzijn en geluk : een kritiek van de andragogie	Baam	Ambo	1980	271	21 cm	9026320388	f. 32.50	8046007
Achterland, Gerrit	De warmte van een verloren einder	Dilbeek	Panther paperback	1979	16	21 cm	N/A	f. 11.40	8061693
Unknown	Achterover : acht jonge dichters	Antwerpen	Tmuzertje kultuurateljee	1979	88	22 cm	N/A	Unknown	Unknown
Acker, J. van	Meisjes zonder kansen? : opvoeding van meisjes in emstige probleemsituaties	Rotterdam	Lemniscaat	1980	221	24 cm	9060694155	f. 33	8014008
Ackerman, L.	Het imago van Belgische kaas	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Ackerman, G. van Heghe.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	8070733
Unknown	Acta geographica lovaniensia	XI, 186 p.	fign.	8063	Unknown	Unknown	N/A	f. 42.50	8063671
Unknown	Unknown	The Hague	Nijhoff. Engelse titel vanaf dl. XI	Unknown	164	25 cm	9024722365	f. 75	8014056
Unknown	Acta orientalia Belgica	Leuven	Peeters. 2	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Acta van de Nederlandsche synoden der zestiende eeuw	Dordrecht	Van den Tol	1980	664	24 cm	9063891008	f. 65	8015055
Unknown	Unknown	Luxembourg	Bureau voor of ficiele publikaties der Europese gemeenschappen	1980	33	23 cm	9282518809	f. 2.60	8075315
Unknown	Actief Nederlands	Antwerpen	De Sikkel. 1	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Actief	denk- en doegeografie.	Unknown	1	Unknown	N/A	Unknown	Unknown
Unknown	Actie-progrannna voor een instelling voor sporttechnisch kader in Noord-Brabant	['s- Hertogenbosch]	Stichting Sportraad Noord-Brabant	1978	23	30 cm	N/A	Unknown	8070374
Unknown	Actieve reacties : scheikunde methode voor het mavo	Amsterdam	Versluys. Dl. 1.- 7e dr.	Unknown	154	23 cm	9024911702	f. 16.50	8030524
Unknown	Action experimentale dans l'education populaire aux Pays Bas : un ensemble d'essais	Amersfoort	NCVO	1978	73	21 cm	N/A	Unknown	8068867
Unknown	Activeringsprogramma : werkbladen	Tilburg	Zwijsen	1975	24	22 cm	9027605830	f. 0.80	8067291
Unknown	Activeringsprogramma : werkbladen	Tilburg	Zwijsen	1975	64	22 cm	9027605815	f. 2.30	8067292
Unknown	Unknown	Activeringsprogranuna	voor 5	Unknown	7	Unknown	9027605807	f. 32.25	8067290
Unknown	Actueel bereik, een kwestie van tijd	Amsterdam	Cebuco	1980	128	21 cm	N/A	Unknown	8037180
Unknown	Actueel recht door gevallenstudie	Unknown	Unknown	Unknown	170	25 cm	N/A	Unknown	Unknown
Unknown	Acute , De, coronaire aanval	Alphen aan den Rijn [etc.]	Stafleu	1980	154	21 cm	9060161378	f. 39	8045204
Adama, Marga	Marga Adama	Amsterdam	Kunstboek	1980	12	30 cm	N/A	f. 7.50	8070806
Adams, Douglas	Het transgalactisch liftershandboek	Baarn	Fontein	1980	148	20 cm	9026101635	f. 18.50	8043023
Adams, John	De hete onderwijzeres	Strombeek-Bever	Schorpioen	1980	80	21 cm	N/A	f. 1.85	8070750
Adams, James L.	Hersenwerk : speels problemen oplossen	Utrecht	Veen	1980	173	22 cm	9020431862	f. 21.50	8039088
Adams, Linda	Beter omgaan met jezelf : een nieuwe manier van samenleven door assertief gedrag	Amsterdam [etc.]	Elsevier	1980	143	25 cm	9010032817	f. 28.50	8044053
Adams, Richard	Twee honden	Utrecht [etc.]	Spectrum	1980	441	18 cm	9027410445	f. 12.50	8015001
Adams, Richard	Waterschapsheuvel	Utrecht [etc.]	Spectrum	1980	447	18 cm & krt. (25 x 20 cm, gevouwen tot 17 cm	9027408114	f. 10.25	8034194
Adams, Richard	Waterschapsheuvel	Utrecht [etc.]	Spectrum	1980	447	22 cm	N/A	f. 32.25	8048045
Adams, Richard	De ijzeren wolf en andere verhalen	Utrecht [etc.]	Spectrum	1980	142	25 cm	9027471002	f. 29.50	8035214
Adams, R. L. P.	Cell culture for biochemists	Amsterdam [etc.]	Elsevier/North- Holland biomedical press	1980	292	21 cm	0444801995	f. 57	8038157
Unknown	Adaptive capabilities of the nervous system proceedings of the 1 1 th International summer school of brain research, organized by the Netherlands institute for brain research, Amsterdam, and held at the Royal Netherlands academy of sciences in Amsterdam, The Netherlands on August 13-17, 1979	Amsterdam [etc.]	Elsevier/North- Holland	1980	445	27 cm	044480207X	f. 189	8040227
Unknown	Unknown	Hilversum	Fleetstreet. '79-'80 / [red. Herman Kuiphof ; ill. Jan van Haasteren].	Unknown	159	21 cm	N/A	f. 3.95	8062352
Adler, Else	Red hem, dokter! : volledige lief rdoesman	Tilburg	Vrijbuiter ; Strombeek-Bever	Unknown	48	28 cm	N/A	f. 1.35	8077362
Adler, Jack	De groepsopvoeder : begrippen, taken en relaties	Deventer	Van Loghum en Slaterus	1980	164	21 cm	9060015835	f. 24.50	8023130
Adler, Melvin Joseph	A pragmatic logic for commands	Amsterdam	Benjamins	1980	131	22 cm	902722501X	f. 25	8035054
Unknown	Administratie voor de interim algemene schakelopleiding : en andere vormen van middelbaar beroepsonderwijs	Groningen	Wolters-Noordhoff	1980	208	21 cm	9001306373	f. 29.50	8051176
Unknown	Administratie voor ondememers in het midden- en kleinbedrijf	Groningen	Wolters-Noordhoff. 1.	Unknown	153	21 cm	900151751X	f. 19.50	8008129
Unknown	Administratieve automatisering	Groningen	Wolters-Noordhoff	1980	104	21 cm	N/A	Unknown	Unknown
Unknown	Administratieve automatisering : lerarengids	Groningen	Wolters- Noordhoff	1980	27	30 cm	N/A	Unknown	Unknown
Unknown	Unknown	Alphen aan den Rijn	Samsom. 1980	Unknown	318	23 cm	9014029888	f. 27.50	8015081
Unknown	Administratieve technieken	Culemborg	Stant/ Robijns. le en 2e dr. verschenen o.d.t.	Unknown	8	30 cm	9011724097	f. 2.10	7971524
Admiraal, Willem	Experiments on the ecology of benthic diatoms in the Eems-Dollard estuary	[Haren] [Gr.]	BOEDE	1980	125	24 cm	N/A	Unknown	8068661
Adnan, Etel	Sitt Marie-Rose : roman	Baarn	Wereldvenster ; 's-Gravenhage	Unknown	120	20 cm	9029395206	f. 16.50	8021255
Unknown	Adoptie van buitenlandse kinderen	Amersfoort	Horstink	1979	112	30 cm	N/A	f. 15.90	7972379
Unknown	Adoptief-ouder worden	's-Gravenhage	Nederlandse stichting voor interlandelijke adoptie en jeugdwelzijn	1978	31	21 cm	N/A	f. 3.50	7970563
Unknown	ADR lezingen	['s-Gravenhage]	[Ministerie van binnenlandse zaken]. nr. 90	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Zwolle	Tijl	1980	192	22 cm	9060430190	f. 75	8019003
Adresboek voor milieuhygiene, veiligheidstechniek en recuperatie.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	9060430182	f. 75	8014135
Unknown	Adressen voor vrouwen	Amsterdam	Feministies socialisties platform	1978	43	21 cm	N/A	f. 2.50	8070241
Adriaans, Piet	Die Behandlung von Verhaltenssthrungen bei Geistigbehinderten	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Bern [etc.]	Haupt	1980	63	21 cm	N/A	Unknown	Unknown
Adriaansen, J. H.	Syllabus macro-economische modellen	Den Haag	Academic service. Dl. 1.	Unknown	154	24 cm	N/A	Unknown	Unknown
Adriaansen, W.	Van start tot landing : instructieboek voor zweefvliegen	Haarlem	Romen	1980	100	25 cm	9022890171	f. 39.50	8028116
Unknown	Adult beginners' course : leergang Engels voor volwassenen	Culemborg	Educaboek [etc.]. 1.	Unknown	213	23 cm	9011851447	f. 99.50	8015119
Unknown	Advanced chemical methods for soil and clay minerals research : proceedings of the Nato advanced study intitute held at the University of Illinois, July 23- August 4, 1979	Dordrecht [etc.]	Reidel	1980	476	25 cm	9027711585	f. 110	8049217
Unknown	Advanced exercises in English grammar	Zutphen	Thieme	1979	40	20 cm	9003368902	f. 4.05	8016218
Unknown	Advanced manufacturing technology : programming research and operations logistics	Amsterdam [etc.]	North-Holland	1980	479	23 cm	044485455X	f. 120	8023029
Unknown	Unknown	Amsterdam [etc.]	North-Holland [etc.]. vol. 15	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in communications : vol. I of a selection of papers from INFO II, the second International conference on information sciences and systems, University of Patras, Greece, July 9-14, 1979	Dordrecht [etc.]	Reidel	1980	524	25 cm	9027711402	f. 90	8038121
Unknown	Unknown	Amsterdam [etc.]	Elsevier. 1979	Unknown	567	25 cm	0444003789	f. 133.25	8028406
Unknown	Advances in control : vol. II of a selection of papers from INFO II, the second International conference on information sciences and systems, University of Patras, Greece, July 9-14, 1979	Dordrecht [etc.]	Reidel	1980	591	25 cm	9027711291	f. 90	8038122
Unknown	Unknown	Advances in earth and planetary sciences	supplement issue to Journal of physics of the earth.	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Unknown	Dordrecht [etc.]	Reidel. Proceedings of the second international seminar on the results of EC geothermal energy research	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in experimental medicine : a centenary tribute to Claude Bernard	Amsterdam [etc.]	Elsevier/North-Holland biomedical press	1980	643	25 cm	0444802592	f. 170	8038428
Unknown	Unknown	New York ; Amsterdam [etc.]	North-Holland. 2	Unknown	324	25 cm	0444003495	f. 60.50	8007018
Advances in psychology.	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	N/A	Unknown	Unknown
Unknown	Advances in research and technology of seeds	115 p. ; 23 cm. Lit. opgn. ISBN 90-220-0746-4	f. 31.20 8046207	Unknown	Unknown	Unknown	9022007464	f. 31.20	8046207
