Author	Title	City	Publisher	Year	Pages	Size	Price
Unknown	Abuisjes of jokkentjes ? Vlugschrift naar aanleiding van de redevoeringen der heeren Domela Nieuwenhuis en Bennink over de Twentsche heeren en fabrieken, van den Almelo'schen correspondent van de »Amsterdammer"	(Amst	R	1889	Unknown	Unknown	f 0.50
Academie (Militaire) te Breda. Nijmegen	H	Unknown	Unknown	1891	Unknown	Unknown	f 0.30
Ach luister toch eens	Lieve Heer! met accompagnement van piano, 2e druk	Breda	Ed	1887	Unknown	Unknown	f 0.25
Achilles (Korporaal) [ps.]	De toekomststaat	Roerm	M	1891	Unknown	Unknown	f 0.35
Achilles (Korporaal) [ps	 Het rapport der defensiecommissie toegelicht en eenigszins uitgebreid	Vucht	Maatsch	1890	Unknown	Unknown	f 0.45
Unknown	Achter de coulissen	Amst	Naam Vennootschap »De Portefeuille' (M	4888	Unknown	Unknown	f 1.50
Unknown	Achter  de schermen! Onthullingen uit onze »deftige" kringen door Mevr	Amst	J	1891	Unknown	Unknown	f'1.50
Ackermann (L.)	De rozenkrans des priesters of de rozenkrans gevlochten voor de Ko priesters	Roer--ningin der mond	J	1885	Unknown	Unknown	f 0.60
Acquoy (J. G. R.)	Middeleeuwsche geestelijke liederen en leisen, met eene klavierbegeleiding naar den aard hunner tonen	's Hage	Mart	Unknown	Unknown	Unknown	f 3.50
Unknown	Acta der voorloopige synode van Neder Gereformeerde kerken gehouden te-duitsche Utrecht 1888	Amst	J	1888	Unknown	Unknown	f 0.90
Unknown	Acta  der tweede voorloopige synode van de Nederduitsche Gereformeerde kerken, ge te Leeuwarden 1890	Amst	J	1890	Unknown	Unknown	f 1.10
Unknown	Acta  der derde voorloopige synode van Nederduitsche Gereformeerde kerken, gehouden te 's Gravenhage in 1891	Amst	J	1891	Unknown	Unknown	f 1.50
Unknown	Acta  - der Friesche provinciale synode van Nederduitsche Gereformeerde kerken, gehouden te Sneek, 15 Juli '1891	Sneek	F	1891	Unknown	Unknown	f 0.20
Unknown	Acta  of Handelingen der Nat	Heeren Staten Generaal te Dordrecht	ten jare 1618 en 16'19	Unknown	Unknown	Unknown	f 9.50
Acta  van de Nederlandsche synoden der zestiende eeuw	verzameld en uitgegeven door F	's Hage	Mart	1889	Unknown	Unknown	Unknown
Unknown	Acta  - van het Synodaal Convent van Neder kerken (Doleerende)-duitsche Gerefornieerde in Nederland	Gehouden te Rotterdam op 28	29, 30 Juni en 1 Juli 1887	1887	Unknown	Unknown	f 0.60
-- van het zending-congres	gehouden te Amsterdam, volgens opdracht der voorloopige synode van Nederduitsche gereforrneerde kerken, op den 28sten, 29sten en 30sten Januari 1890, waarin zijn opgenomen eene bijdrage van W	Amst	J	1890	Unknown	Unknown	f 0.50
Unknown	-- visitationis dioecesis daventriensis ab Aegidio de Monte factae 1571	) Zwolle	Erven J	1571	Unknown	Unknown	f 3.25
Unknown	Actes du sixième congrès international des orientalistes tenu en 1883 à Leide	Leide	E	1885	Unknown	Unknown	f 2.50
Ada [ps.]	Heeren-en damesoorlog	Arnh	J	1883	Unknown	Unknown	f 1.50
Adaglarlus [ps.]	Latijnsche citaten in het dagelijksch leven	Utr	J	4889	Unknown	Unknown	f 1.50
Adama van Scheltema (C. S.)	De advokaat des duivels te hulp geroepen	Utr	C	1890	Unknown	Unknown	f 0.15
Adama van Scheltema (C. S.)	»Een vaste burcht is onze God !" Muziek voor gemengd koor, orgel of piano	Nijmegen	P	1891	Unknown	Unknown	f 0.10
Adama van Scheltema (C. S.)	Feestlied 4880-1890	Amst	F	1890	Unknown	Unknown	f 0.04
Adama van Scheltema (C. S.)	Geloofsroem onder druk en kruis Proeve eener vrije vertolking der zangen, waarin Amerika's negerslaven den Heer Jezus Christus als hun zaligmaker hebben verheerlijkt	Leiden	T	1894	Unknown	Unknown	f 0.25
Adama van Scheltema (C. S.)	Heer, zegen Wilhelmina! Koningin Volkswijze	Muziek voor orgel	piano-ne-lied	1891	Unknown	Unknown	f 0.05
Adama van Scheltema (C. S.)	 Neerbosch' Zangvogeltjes	Nijmegen	P	1889	Unknown	Unknown	Unknown
Adama van Scheltema (C. S.)	Solo en koor	Nijmegen	P	1891	Unknown	Unknown	f 0.40
Adama van Scheltema (C. S.)	Vader Mathew	's-Hage	H	1890	Unknown	Unknown	Unknown
Adama van Scheltema (C. S.)	Verleiders en verleiden, of wetenschap en praktijk in volle overeenstemming	Bunge	Dr	1891	Unknown	Unknown	f 0.10
Adama van Scheltema (C. S.)	Vier feest gelegenheid van 't zeventigjarig-liederen ter geboortefeest van Z	Gorinch	J	1887	Unknown	Unknown	f 0.04
Adama van Scheltema (C. S.)	 Vier kerstliederen	Rotterd	J	1884	Unknown	Unknown	f 1.40
Adama van Scheltema (C. S.)	 Vijf•en-twintig liederen op keur van psalmmelodieën	Nijmegen	P	1889	Unknown	Unknown	f 0.30
Adama van Scheltema (C. S.)	Wat vóór 300 jaar geschiedde of de onoverwinnelijke vloot vernield	Nijmegen	P	1888	Unknown	Unknown	f 0.40
Adama van Scheltema (C. S.)	v	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Adams (W.)	De schaduw van het kruis	Amst	Höveker & Zn	1885	Unknown	Unknown	f 0.25
Unknown	Adelaar (De Friesche)	Leeuwarden	(Heerke Wenning	1891	Unknown	Unknown	Unknown
Adelbert [ps.]	Robinson Crusoë	Amst	D	1885	Unknown	Unknown	Unknown
Adelpha [ps.]	De eerste misstap	Nijkerk	G	1890	Unknown	Unknown	f 0.20
Adelpha [ps.]	 De koninklijke wet	Nijk	G	1889	Unknown	Unknown	f 0.15
Adelpha [ps.]	De verborgen vloek	Nijkerk	G	1889	Unknown	Unknown	f 0.07
Unknown	Adelpha Gij gaat vele muschkens te boven	Nijkerk	G	1888	Unknown	Unknown	f 0.15
Unknown	Adelpha Het morgenrood der hervorming in Engeland	Nijk	G	1890	Unknown	Unknown	f 0.45
Adelpha Kleine Jozef. Naar het Engelsch. Nijkerk	G	Unknown	Unknown	1887	Unknown	Unknown	f 0.30
Adelpha [ps.i	Lize en hare vrienden	Nijkerk	G	1888	Unknown	Unknown	f 7.50
Adelpha [ps.i	 Met goedertierenheid getrokken	Nijkerk	G	1889	Unknown	Unknown	f 0.15
Adema (W. B.)	Beschouwingen over de plantwijzer van Djagoeng- en koffiecultuur	's Hage	Alex	1887	Unknown	Unknown	Unknown
Admiraal Mz. (K.)	De kankerziekte der boomen	Arnst	M	1889	Unknown	Unknown	f 3.50
Adoleseens [ps ]	De jongelings-vereeniging	Kollum	T	1888	Unknown	Unknown	f 1.25
Ador (Paul)	Jezus van Nazaret	Leiden	A	1889	Unknown	Unknown	f 3.90
Adresblad (Maandelijksch) van fabrikanten en industriëelen	betrekking hebbende op drukkerijen in 't algemeen	flott	J	1891	Unknown	Unknown	Unknown
Adresboek van Alkmaar. 1885,1888,1891. Alkm.	P	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Adresboek (Nieuw) voor Amersfoort	Baarn en Soest	Amersfoort	J	1891	Unknown	Unknown	f 1.25
Adresboek (Nieuw) voor Amersfoort	(Algemeen) der stad A m s t e r d a m, voorde jaren 1883/84-1891/92	Amst	Ellerman Harms & Co	Unknown	Unknown	Unknown	Unknown
Adresboek (Nieuw) voor Amersfoort	(Het goedkoope) van Amsterdam, Ouder- en Nieuwer-Amstel, Watergraafsmeer, Overtoom en Dubbele Buurt voor 1886 en '1987, door Neffeg	-Amst	Nijgh & van Ditmar	Unknown	Unknown	Unknown	f 1.75
Adresboek (Nieuw) voor Amersfoort	(Nieuw A r n h e m s e h) met de gemeenten Velp, Rosendaal, Oosterbeek en Westervoort, voor 1883-1891	Arnhem	Stenfert Kroese & van der Zande	Unknown	Unknown	Unknown	f 1.25
Adresboek v. de gemeenten Br cd a en Ginneken	Prinsenhage en Teteringen 1883-1891	Breda	P	Unknown	Unknown	Unknown	f 1.25
Unknown	Adresboek  van Delft	Uitgegeven met goed Burgemeester en Wethouders	-keuring van H	Unknown	Unknown	Unknown	f 1.25
Adresboek (Volledig) van de gemeente Deventer	bewerkt naar de uitkomsten der 7e tienjarige volkstelling door A	Deventer	Firma Brinkgreve	1890	Unknown	Unknown	f 0.50
Adresboek (Volledig) van de gemeente Deventer	(Algemeen) van Dordrecht voor 1885 en '1890	Bott	J	Unknown	Unknown	Unknown	f 2.50
Adresboek (Volledig) van de gemeente Deventer	 van fabrikanten in Nederland	flott	Nijgh & v	1890	Unknown	Unknown	Unknown
Adresboek (Volledig) van de gemeente Deventer	(F i n a n t ice 1) van Nederland	Alphabetische naamlijst van bankiers	kassiers, commissionnairs in effecten, geldwisselaars, finantieele instellingen, vennootschappen, hare succursalen en agenturen net opgave der directeuren, commissarissen enz	1883	Unknown	Unknown	f 1.25
Adresboek (Volledig) van de gemeente Deventer	voor de gemeente Gouda	Gouda	G	Unknown	Unknown	Unknown	f 0.75
Adresboek (Volledig) van de gemeente Deventer	voor 's G r a v e n h a g e, Scheveningen, Loosduinen, Rijswijk en Voorburg	/1883/84 -1889/90 's Hage	H	Unknown	Unknown	Unknown	f 2.40
Adresboek (Volledig) van de gemeente Deventer	(Algemeen) van Groningen	Naamwijzer van de hooge collegiën, het gemeente instellingen, maatschap--bestuur, partikuliere pijen enz	Alphab	Unknown	Unknown	Unknown	Unknown
A. J. Heuning en W. W. Kroep). Gron.	J	4886	roy	Unknown	Unknown	Unknown	f 2.50
A (Algemeen) van Haarlem. 1887 en '1891. Haart	Gebr	Unknown	Unknown	Unknown	Unknown	Unknown	f 1.25
A (Algemeen) van Haarlem	(Handels-) van geheel Nederland	flott	J	Unknown	Unknown	Unknown	f 0.90
Adresboek voor de gemeente H jive r sum. Hilversum	J	Unknown	Unknown	1891	Unknown	Unknown	f 1.25
Adresboek van de Gemeente Leeuwarden	voor 1883 Leeuw		H	Unknown	Unknown	Unknown	f 1.25
Unknown	Adresboek (Algemeen) van de gemeente Leiden	) Leid	de Breuk & Smits, post So	1884	Unknown	Unknown	f 1.20
Adresboek (Algemeen) van de gemeente Leiden	van Middelburg voor 1883-1891	Rott	Nijgh & van Ditmar	1891	Unknown	Unknown	f 0.70
Adresboek (Algemeen) van de gemeente Leiden	 van Nederlandsch -Indië voor den handel	Rott	Nijgh & van Ditmar	1885	Unknown	Unknown	f 1.50
Adresboek (Algemeen) van de gemeente Leiden	 -- van N ij me gen en het Schependom, bevattende de alphabetische naamlijst van de ingezetenen, hun beroep en woonplaats	Nijmegen	H	Unknown	Unknown	Unknown	Unknown
Adresboek (Algemeen) van de gemeente Leiden	 van Roermond, naar officieele bescheiden bewerkt	Roerm	Henri van der Marck	1890	Unknown	Unknown	f 0.60
Adresboek (Algemeen) van de gemeente Leiden	(Algemeen) van Rotterdam voor 48(4 e	flott	J	Unknown	Unknown	Unknown	f 5.50
Adresboek (Algemeen) van de gemeente Leiden	 --(Nieuw) der stad Utrecht, de Bilt en Zeist	Bevattende Naamwijzer van het Rijks-	Provinciaal-en Gemeentebestuur	Unknown	Unknown	Unknown	f 2.50
Adresboek (Algemeen) van de gemeente Leiden	 van Zaandam, saamgesteld naar het primitief kohier van den hoofdelijken omslag	Zaandam	P	1887	Unknown	Unknown	f 0.85
Adresboek (Algemeen) van de gemeente Leiden	 van de Z a a n s t r e e k	Zaandam	Koog aan de Zaan, Zaandijk, Wormerveer, Krommenie, Westzaan en Oostzaan	1888	Unknown	Unknown	f 1.25
Adresboek (Algemeen) van de gemeente Leiden	 van Zutphen	) Zutphen	W	Unknown	Unknown	Unknown	f 0.75
Adresboek (Algemeen) van de gemeente Leiden	 van Zwolle, bevattende een alphabetische naamlijst der ingezetenen, hun beroep, woonplaats en kiesgerechtigheid, een nieuwen plattegrond der stad, benevens opgaaf van verschillende besturen en instellingen	Zwolle	W	1891	Unknown	Unknown	f 1.50
Unknown	Adres-en jaarboek van de gemeente Deventer voor 1883/84 naar officiëele bronnen bewerkt, door A	Deventer	W	1889	Unknown	Unknown	Unknown
Adressen (Drie) aan den gemeenteraad van Utrecht	in zake de al of niet reglementeering van de prostitutie aldaar	Utr	J	1888	Unknown	Unknown	f 0,30
Adriana [ps.]	Dora's Kerstfeest	Schoonh	S	1886	Unknown	Unknown	f 0.30
Unknown	Adriana Grootvaders lieveling	Schoonh	S	1886	Unknown	Unknown	f 0.40
Adriani (B. J.)	Eene dubbele feesture	Amst	Höveker & Zoon	1884	Unknown	Unknown	f 0.30
Adriani (B. J.)	Jaarboekje Martha	)	Geert Groote en de Fraterhuizen, in verband met onze godsdienstige werkzaamheid	Unknown	Unknown	Unknown	Unknown
Afdeeling Edam. Edam	Corns	Unknown	Unknown	1885	Unknown	Unknown	f 0.15
Adrian/ (P.)	Beni-Berl	(Leeuw	W	1887	Unknown	Unknown	f 2.95
Adrian/ (P.)	 De tropische infectie-ziekten	) Leeuw	W	1888	Unknown	Unknown	f 4.25
Adrian/ (P.)	Herinneringen uit en aan Nederlandsch Oost-Indië 1877-1882	Loppersum	H	1890	Unknown	Unknown	f 4.25
Unknown	Adssai of Samuel Crowther	Leiden	D	1887	Unknown	Unknown	f 0.25
Adviezen (Rechtsgeleerde). Tiende verzameling. 's Hage	Gebr	Unknown	Unknown	1885	Unknown	Unknown	Unknown
Adviezen (Rechtsgeleerde)	(Rechtsgeleerde) in zake het kerkelijk conflict te Amsterdam	Amst	J	1886	Unknown	Unknown	f 0.60
Advocaat (De ongeloovige) door Mej. C. V. 's Hage	H	Unknown	Unknown	1890	Unknown	Unknown	f 0.50
Aertnijs (Jos.)	Fasciculus theologiae moralis, tractans 1 0 de occasionariis et recidivis, 2 0 de usu matrimonii, juxta doctr	Tornaci-Buscoduci	(Amst	1883	Unknown	Unknown	f 0.75
Aertnijs (Jos.)	 Theologia moralis juxta doctrinam S	Tornaci-Buscod	(Amst	1886	Unknown	Unknown	Unknown
Aeschylus	Agamemnon	Gron	J	1888	Unknown	Unknown	f 0.75
Aeschylus	 Prometheus	Gron	J	1890	Unknown	Unknown	f 0.75
Aflaat (De) van Portiuncula. Maastr.	St	Unknown	Unknown	1881	Unknown	Unknown	f 0.20
Unknown	Aflaatgebeden ten dienste der geloovigen voor het buitengewoon jubilé in 1886	Zwolle	J	1886	Unknown	Unknown	f 0.10
Unknown	Afloop der koffie-veilingen van de Ned	Amst	J	Unknown	Unknown	Unknown	f 0.25
Afman (E.)	Artistenstreken	Drieborg	J	1891	Unknown	Unknown	f 0.60
Afman (E.)	 De portemonnaie van een student	573) Zutphen	Thieme's Boeken Muziekhandel	1889	Unknown	Unknown	f 0.50
Afman (E.)	Een vrijage in het kamp	590) Zutph	Thieme's Boek-en Muziekhandel	1889	Unknown	Unknown	f 0.50
Afman (E.)	'n Leugen dei wat gouds oetwarkt	Blijspel in 3 bedrijven	voor rederijkers, zonder damesrollen, in den Groninger tongval, (volgens de Oldambtster uitspraak)	1888	Unknown	Unknown	f 0.50
Afman (E.)	Opt bivouac	Zutph	Thieme's Boeken Muziekhandel	1888	Unknown	Unknown	Unknown
Unknown	Afrikaan (De ITollandsche)	) Amst	Bureau 0	Unknown	Unknown	Unknown	Unknown
Unknown	Afrikaander (Een)	Amst	J	1883	Unknown	Unknown	Unknown
Afschrift akte bevoegdheid. Gron.	Erven B	Onderwijzer nieuwe wet	V	1885	Unknown	Unknown	f'0.05
Unknown	Afzettingsbul voor de »provisioneel geschorste" kerkeraadsleden te Amsterdam	Amst	J	1886	Unknown	Unknown	Unknown
Agatha [Mej. R. de Goeje]	Beelden uit het boek der natuur	Amst	Jan Leendertz & Zn	1889	Unknown	Unknown	f 0.75
Agatha [Mej. R. de Goeje]	Broertjes en zusjes, geschreven voor jonge kinderen	Alkmaar	P	1889	Unknown	Unknown	Unknown
Alkmaar	P	's Hage	H	1885	Unknown	Unknown	f 0.50
Alkmaar	 De goudgelokte fee	Een vertelling voor aankomende meisjes	Clementine Helm naverteld	1886	Unknown	Unknown	f 1.50
Alkmaar	 De herberg in het Spessart-gebergte	Amst	S	1887	Unknown	Unknown	f 0.90
Alkmaar	 De karavaan	Amst	S	4887	Unknown	Unknown	f 1.25
Alkmaar	 De vrijwilligers	's Hage	Henri J	Unknown	Unknown	Unknown	Unknown
Alkmaar	Een koddig prentenboek	Amst	L	1890	Unknown	Unknown	f 0.80
Alkmaar	Een prentenboek vol verrassingen	Amst	L	1890	Unknown	Unknown	Unknown
Alkmaar	 Eene wandeling langs de kermis, *net 6 platen in kleurendruk	Tiet	H	1886	Unknown	Unknown	f 0.60
Agatha [Mej. R. de Goeje]	Eind goed, al goed	3e druk_ Utr	Gebr	Unknown	Unknown	Unknown	f 1.25
Agatha [Mej. R. de Goeje]	Engeltjes en bengeltjes	Amst	Jan Leendertz & Zn	1889	Unknown	Unknown	Unknown
Agatha [Mej. R. de Goeje]	 - Er was eens! Grootmoeder's vertellingen	Amst	Jac	1887	Unknown	Unknown	f 1.90
Agatha [Mej. R. de Goeje]	Grappig prentenboek »Sla om "	Amst	L	1890	Unknown	Unknown	f 1.20
Agatha [Mej. R. de Goeje]	 Groote dieren voor kleine kinderen	Rott	D	Unknown	Unknown	Unknown	f 0.40
Agatha [Mej. R. de Goeje]	 Het poppenhuis	Tiel	H	1890	Unknown	Unknown	f 0.90
Agatha [Mej. R. de Goeje]	 - Jan en Bertha	Amst	Tj	1883	Unknown	Unknown	f 1.50
Agatha [Mej. R. de Goeje]	Kiekeboe	Rott	Jac	1884	Unknown	Unknown	f 1.40
Agatha [Mej. R. de Goeje]	Kijk eens broer! Praatjes bij plaatjes	Rott	Jac	1884	Unknown	Unknown	f 1.40
Agatha [Mej. R. de Goeje]	Kijk eens zus! Praatjes bij plaatjes	Rott	Jac	1884	Unknown	Unknown	f 1.40
Agatha [Mej. R. de Goeje]	Leonie en Elise	Amst	Tj	Unknown	Unknown	Unknown	f 0.90
Agatha [Mej. R. de Goeje]	 Lief zijn en lief doen	Rolt	Nijgh & van Ditmar	1889	Unknown	Unknown	Unknown
Agatha [Mej. R. de Goeje]	Mijn lieve pop	Rott	Jac	Unknown	Unknown	Unknown	f 1.60
Agatha [Mej. R. de Goeje]	 - Nettie's boek	A mst	S	1887	Unknown	Unknown	f 1.25
Agatha [Mej. R. de Goeje]	 Noach's ark	Amst	Jac	1887	Unknown	Unknown	f 0.90
Agatha [Mej. R. de Goeje]	Ondeugende knapen	Alkm	P	1884	Unknown	Unknown	f 0.35
Agatha [Mej. R. de Goeje]	,Onvergetelijke uren	Amst	Tj	1885	Unknown	Unknown	f 2.25
Agatha [Mej. R. de Goeje]	Oolijk en vroolijk	Rott	Jac	4884	Unknown	Unknown	f 1.40
Agatha [Mej. R. de Goeje]	 Op Papa's knie	Rott	Jac	1885	Unknown	Unknown	f 1.40
Agatha [Mej. R. de Goeje]	 Pauline	Amst	Jan Leendertz (& Zn	1885	Unknown	Unknown	f 1.20
Agatha [Mej. R. de Goeje]	Sprookjes van Moeder de Gans	Alkmaar	P	1887	Unknown	Unknown	f 0.50
Agatha [Mej. R. de Goeje]	Telkens wat nieuws	Amst	L	1890	Unknown	Unknown	f 1.90
Agatha [Mej. R. de Goeje]	Uit het wonderland	Amst	S	1887	Unknown	Unknown	f 1.50
