Author	Title	City	Publisher	Year	Pages	Size	Price
Unknown	Geschiedenis  van een ondeugend meisje door haar zelve verteld, uit het Eng	Zutph	W	1888	Unknown	Unknown	f 1.50
Unknown	Geschiedenis van het H	Amst	G	1578	Unknown	Unknown	f 0.95
Geschiedenis  van het Oude en Nieuwe Testament	ten gebruike van Katholieke scholen en huis Jongensweeshuis	(Amst	F	1891	Unknown	Unknown	Unknown
Geschiedenis  van Lodewijk XVI. Leiden	J	Unknown	Unknown	1890	Unknown	Unknown	f 0.60
Geschiedenis  van vrouw Dribbel en hare bigge. Tie!	H	Unknown	Unknown	1884	Unknown	Unknown	f 0.60
Geschiedenis (Beknopte) der Katholieke missie in Suriname	door een Redemptorist (C	Gulpen	M	1884	Unknown	Unknown	f 0.75
Geschiedenis (Beknopte) der Katholieke missie in Suriname	 (Bijbelsche)	Ten dienste van catechisatiën	scholen en huisgezinnen	1891	Unknown	Unknown	f 0.25
Geschiedenis (Beknopte) der Katholieke missie in Suriname	 (De) der Christelijke kerk aan de jeugd verhaald	Leiden	D	1885	Unknown	Unknown	f 0.90
Geschiedenis (Beknopte) der Katholieke missie in Suriname	 (Be) der eerste menschen	's Hage	H	1888	Unknown	Unknown	f 0.15
Geschiedenis (Beknopte) der Katholieke missie in Suriname	 (De) der Neder-Veluwe	Barneveld		Unknown	Unknown	Unknown	Unknown
G. W. Boonstra. '1888	1889; III	Wageningen	Wageningsche Boek-en Handels Bronsveld) 1890	1890	Unknown	Unknown	f 1.50
Unknown	G	Leiden	D	1891	Unknown	Unknown	f 0.75
G.  (De) des vaderlands	 - (De) van David	Amst	Höveker & Zn	1889	Unknown	Unknown	f 0.20
G.  (De) des vaderlands	 (De) van den goeden Sultan	Sijthotf (Amst	J	1886	Unknown	Unknown	f 0.30
G.  (De) des vaderlands	 (De) van een biechteling	Utr	Kemink & Zoon	1889	Unknown	Unknown	f 0.25
G.  (De) des vaderlands	 (De) van een ondeugenden jongen, door hem zelven verteld	Zutphen	W	1887	Unknown	Unknown	f 1.50
Geschiedenis (De) van het huisje op het ijs. Alkm.	P	Unknown	Unknown	Unknown	Unknown	Unknown	f 0.90
Geschiedenis (De) van het huisje op het ijs	 -- (De) van het roodborstje	Amst	S	1890	Unknown	Unknown	f 0.75
Geschiedenis (De) van het huisje op het ijs	 (De) van Jan Klaassen	Amst	S	1890	Unknown	Unknown	f 0.75
Geschiedenis (De) van het huisje op het ijs	 (De) van Jozef	Amst	Höveker & Zn	1883	Unknown	Unknown	f 0.15
Geschiedenis (De) van het huisje op het ijs	 (De) van Jozef	Amst	Höveker & Zn	Unknown	Unknown	Unknown	f 0.20
Geschiedenis (De) van het huisje op het ijs	 (De) van juffrouw Minet	Sijtholt' (Amst	J	1886	Unknown	Unknown	f 0.30
Geschiedenis (De) van het huisje op het ijs	 (De) van mijnheer Kardoes en mejutirouw Muizenschrik	Gouda	G	1890	Unknown	Unknown	f 0.50
Geschiedenis (De) van het huisje op het ijs	 (De) van Mozes	Amst	Höveker & Zn	1889	Unknown	Unknown	f 0.20
Geschiedenis (De) van het huisje op het ijs	 (Del van Robinson Crusoë	-Nijm	Gebr	1888	Unknown	Unknown	f 0.90
Geschiedenis (De) van het huisje op het ijs	 (De altijd nieuwe)	Utr	J	Unknown	Unknown	Unknown	f 0.07
Geschiedenis (De) van het huisje op het ijs	 (De Bijbelsche) aan kinderen verhaald	Leiden	D	1889	Unknown	Unknown	f 0.50
Geschiedenis (De) van het huisje op het ijs	 (Kleine Bijbelsche) voor R	Jongensweeshuis (Amst	F	Unknown	Unknown	Unknown	f 3.30
Geschiedenis (De) van het huisje op het ijs	(Verkorte gewijde) met kerkel	berm	J	1887	Unknown	Unknown	f 0.25
Unknown	Geschrift (Een merkwaardig) uit de 17e eeuw	Amst	C	1886	Unknown	Unknown	f 0.30
Unknown	Geschriften over sociale vragen	Zaaijer Az	De overheidsbemoeiing met het vakonderwijs der werklieden (1886)	Unknown	Unknown	Unknown	f 0.10
Geselschap Wz. (J. H.)	Waarom de Christus aan het kruis en waartoe de Christen in de woestijn	Rott	J	1885	Unknown	Unknown	f 0.30
Geslacht (Het) van [sendoorn a Blois	zijn oorsprong en die van verschillende andere familiën uit het geslacht De Cock, en de beweerde afstamming daarvan uit het oude Fransche gravenhuis De Chàtillon	's Hage	Genealogisch-heraldisch archief	1889	Unknown	Unknown	f 1.50
Geslachtslijst Borret. 's Hage	Genealogisch en heraldisch archief	Utr	J	1890	Unknown	Unknown	f 1.40
Geslachtslijst van de familie »Boelens". Aanhangsel. Amst.	C	Unknown	Unknown	1885	Unknown	Unknown	f 0.25
Geslachtslijst  van de familie Bruyn	uit echte bescheiden en familieaanteekeningen opgemaakt	Amst	C	1886	Unknown	Unknown	Unknown
Geslachtslijst  van de familie Dommer. Amst.	C	folio	met wapens	Unknown	Unknown	Unknown	f 3.50
Unknown	Gesprek tusschen twee werklieden over het socialisme	Amst	Höveker & Zoon	Unknown	Unknown	Unknown	f 0.05
Gessner (G.)	Het beeld van een stille in den lande, of trekken uit het leven der weduwe van J	Unknown	Unknown	1885	Unknown	Unknown	f 1.80
Gestel (Adr. van)	De justitia et lege civili	Gron	J	1889	Unknown	Unknown	f 1.90
Gestel (M. H. van)	Methodiek van het teekenonderwijs op de volksschool	Ten diente van hen	die studeeren voor eene teekenakte	Unknown	Unknown	Unknown	f 0.80
Unknown	Getijden en gebeden voor de broeders en zusters der derde orde van den H	Breda	Ed	1891	Unknown	Unknown	f 4.60
Unknown	Getijden  van het heilig en hoogwaardig sacrament van mirakel van Amsterdam	Amst	G	1889	Unknown	Unknown	f 0.50
Unknown	Getuige (Een) van de liefde des Heeren	Amst	Höveker & Zn	1885	Unknown	Unknown	f 0.30
Unknown	Getuigen door onthouden! t5 Juni '1886	Amst	Höveker & Zn	1888	Unknown	Unknown	f 0.05
Geulinex (Arn.)	Opera philosophica	Hagae Comitum	apud Mart	1891	Unknown	Unknown	f 7.50
Geus (G. A. de)	Zakboekje der maten, gewichten en munten, met hunne vergelijkingsen herleidingstafels	Amst	ten Brink & de Vries	1884	Unknown	Unknown	f 1.75
Geuzen (De)	of het morgenrood van Neérlands onafhankelijkheid	Amst	F	1572	Unknown	Unknown	Unknown
Geuzenbode (De). Gereformeerd weekblad. Bridle	Geuzengesticht	Unknown	Unknown	Unknown	Unknown	Unknown	f 1.56
Gevaerts van Simonshaven (P. 0. H.)	Open brief aan den geneeskundigen raad van Zuid-Holland	('s Hage	J	1891	Unknown	Unknown	Unknown
Unknown	Gevangene (De) der Bastille	's Bosch	G	Unknown	Unknown	Unknown	f 0.70
Unknown	Gevaren (De) der wereld voor den Christenjongeling door een R	)	W	1886	Unknown	Unknown	Unknown
Unknown	Gewraakt! Een woord van verweer en verantwoording tegen den hoofdredacteur van den Standaard en aan het christelijk Neder aanleiding van de Standaard van-land	Utr	C	1891	Unknown	Unknown	f 0.15
Geyerstam (Gustaf af)	Ernst Hallin	Amst	P	1890	Unknown	Unknown	f 2.90
Geyl	Waarnemingen en beschouwingen over ongewonen haargroei	Dordr	Blussé & van Braam	1888	Unknown	Unknown	f 1.90
Geyter (Julius de)	Keizer-Karel en het rijk der Nederlanden	Schied	H	1888	Unknown	Unknown	Unknown
Unknown	Gezangboek voor grappenmakers	Rott	Gebr	1885	Unknown	Unknown	f 0.30
Unknown	Gezangboek (Godsdienstig) voor oud-Katholieken	Rott	Rich	1890	Unknown	Unknown	f 1.30
Unknown	Gezangen onzer broederschappen	Verzameld door een pater-redemptorist Amst	G	1891	Unknown	Unknown	f 0.35
Unknown	Gezangen  op alle feesten des jaars voor de congregatiën van 0	V	als ook ten gebruike van alle katholieken in kerk en huisgezin, van oude en nieuwe kerkelijke melodiën voor Ponten	1990	Unknown	Unknown	Unknown
Unknown	Gezangen  - ten gebruike der Bossche Kevelaarsche processie	's Bosch	G	1890	Unknown	Unknown	f 0.20
Unknown	Gezangen  -voor de vergaderingen van de leden der wereldlijke derde orde	Roerm	H	1891	Unknown	Unknown	Unknown
Gezangen .-voor R. K. militaire vereenigingen. Breda	Ed	Unknown	Unknown	4885	Unknown	Unknown	f 0.10
Gezelle Meerburg (G. F.)	Bundel nage leerredenen met de bevestigings-rede door-laten C	Callenbach	en eene voorrede door G	1884	Unknown	Unknown	f 1.50
Gezelle Meerburg (G. F.)	Tweetal nagelaten leerredenen	Heusden	Gezelle Meerburg & Goethals	1883	Unknown	Unknown	f 0.25
Gezelle Meerburg (G. F.)	Waarschuwende en besturende opmerkingen over het bidden, met een voor liet profeteeren en een inleidend-rede over woord van A	Heusden	A	1888	Unknown	Unknown	f 0.20
Unknown	Gezelschapsspel(Nieuw) Het spel van avontuur	Gron	Erven B	1891	Unknown	Unknown	f 0.15
Gezelschapsspel(Nieuw) Het spel van avontuur	(Nieuwe) voor oud en jong	Gouda	G	1883	Unknown	Unknown	f 0.60
Gezocht en gevonden. Uit het Duitsch. Gorinch.	C	Amst	Scyffardt's Boekh	1888	Unknown	Unknown	f 0.50
Unknown	Gezondheidsvoorsehriften voor het huis W	Leiden	A	1899	Unknown	Unknown	f 0.25
Gheel Gildemeester (F. van)	De wapen 10-20)	's Hage	-rusting Gods	1888	Unknown	Unknown	f 0.75
Gheel Gildemeester (F. van)	»Hopeloos en toch geholpen"	Amst	F	1890	Unknown	Unknown	f 0.05
Gheel Gildemeester (F. van)	Kundig	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Gheyn Jr. (E. van den)	Van Oost	Dordr	J	1883	Unknown	Unknown	Unknown
Gheyn (J. van den)	De wetenschap der godsdiensten aan de Hoogeschool te Leiden	Haarl	Küppers & Laurey	1887	Unknown	Unknown	f 0.50
Giberne (Agnes)	De kleine handlangster des Heeren	Utr	A	1891	Unknown	Unknown	f 0.90
Unknown	Gids der Psalmen en Gezangen met naamlijst van de dichters der Gezangen	Het overige ' I wordt ten behoeve van een jonge voor predikant studeert	aangewend	1885	Unknown	Unknown	f 0,75
Unknown	  door Roermond voor de pelgrims naar 0	Roerm	Henri v	Unknown	Unknown	Unknown	f 0.15
- - en reisboek voor de stad en de provincie Utrecht. Utr.	L	Unknown	Unknown	1884	Unknown	Unknown	f 1.50
Unknown	- - in de compagnies-administratie ten dienste van hen die belast zijn met het voeren daarvan of daarvoor verantwoordelijk zijn, door een administreerenden soldenier	Bergen op Zoom	A	1889	Unknown	Unknown	f 0.25
Unknown	-- op den levensweg voor ieder die op zekere wijze tot welvaart wil geraken; door een man van ondervinding	Utr	Gebr	1883	Unknown	Unknown	f 1.25
-- van den Haag en Scheveningen in drie talen (Fransch	Duitsch en Engelsch) niet plan van de Scheveningsche Boschjes en Plan van 's Gravenhage	's Hage	M M	1889	Unknown	Unknown	f 0.130
- -voor Antwerpen en de tentoonstelling in 1885	met plattegrond der tentoonstelling	Amst	De Brakke Grond	1885	Unknown	Unknown	f 0.50
Unknown	--voor Apeldoorn en omstreken	Met plattegronden van de kom van het dorp	het koninklijk park, de omliggende hosschen, een afstandskaartje, en eon kaart der geheele ge benevens 16 platen, voorstellende-ineente, fraaie punten der gemeente en particuliere gebouwen	1891	Unknown	Unknown	Unknown
Gids voor Arnhem en omstreken	met plattegrond van Arnhem, vier wandelkaarten, elf platen en dertien illustratiën in den tekst	Unknown	Unknown	1887	Unknown	Unknown	f 0.30
Unknown	Gids  -voor den eenvoudigen bij bellezer	Amst	Höveker & Zn	1888	Unknown	Unknown	f 3.50
Unknown	Gids  -voor Deventer en omstreken	Met plattegrond van Deventer	een groote wandelkaart, twaalf platen en een aantal illustratiën in den tekst	1891	Unknown	Unknown	f 0.30
Unknown	Gids voor het aandoen van de reede Batavia	Batavia	Landsdrukkerij	1886	Unknown	Unknown	Unknown
Unknown	Gids voor het bevaren van de Gaspar Straten	Batavia	Landsdrukkerij	1888	Unknown	Unknown	f 1.50
Unknown	Gids voor het bevaren van Straat Karimata Hydrographisch bureau te Batavia	Batavia	Landsdrukkerij	1884	Unknown	Unknown	Unknown
Unknown	Gids voor liet bevaren van straat Soenda	Utr	J	1889	Unknown	Unknown	f 0.50
Gids voor het wetboek van strafrecht	Dordr		Blussé & van Braam	1886	Unknown	Unknown	f 0.80
Gids voor inleggers bij de Rijkspostspaarbank. Amst.	J	Meeuwissen	'1889	Unknown	Unknown	Unknown	f 0.10
Gids dekerk	Leidschendam, Leiderdorp, Lisse, Noordwijk, Noordwijkerhout, Oegstgeest, Ouds -hoorn, Rijnsburg, Stompwijk, Sassenheim, Valkenburg, Veur, Voorhout, Voorschoten, Warmond, Wassenaar en Zoeterwoude	) Met afbeeldingen	wandelkaarten, benevens een plattegrond der stad	1890	Unknown	Unknown	f 0.50
Gids voor Utrecht	de Bilt, Zeist, Rijzenburg, Driebergen, Doorn, Neerlangbroek, Wijk bij Duurstede, Leersurn, Amerongen en Rhenen Met plattegrond van Utrecht, drie wandelkaarten, 13 platen en 15 illustratiën in den tekst	Utr	I	1889	Unknown	Unknown	f 0.50
Gids voor Wageningen en omstreken	met Benkum, Doorwerth, Bennekom, Ede, Grebbe, enz		met plattegrond van Wageningen oud thans, 2 wandelkaarten en een aan--tijds en tal afbeeldingen	1890	Unknown	Unknown	f 0.30
Unknown	Gids (Beknopte) door het Geuldal	(Limburg) Houthem	Gebr	1887	Unknown	Unknown	f 0.25
Gids (Beknopte) door het Geuldal	 (De), onder redactie van W	de Beaufort	J	Unknown	Unknown	Unknown	Unknown
G. Quack	J	Amst	P	1887	Unknown	Unknown	f 0.85
Unknown	G	Arnh	-1891	Unknown	Unknown	Unknown	f 0.80
G.  (De) voor leesgezelschappen en rede J	 (De Indische)	Amst	J	Unknown	Unknown	Unknown	Unknown
G.  (De) voor leesgezelschappen en rede J	(De Katholieke)	Haarl	Küppers & Laurey	Unknown	Unknown	Unknown	f 3.60
G.  (De) voor leesgezelschappen en rede J	 (De Militaire), onder hoofdredactie van F	Haard	de Erven F	Unknown	Unknown	Unknown	Unknown
Gids (De Nederlandsche) voor spoorwegen	stoom-en zeilvaart, c	Amst	W	Unknown	Unknown	Unknown	f 7.50
Gids (De Nederlandsche) voor spoorwegen	 (De veilige) op de levensreis	Amst	F	1891	Unknown	Unknown	f 0.05
Gids (De Nederlandsche) voor spoorwegen	(Dubbeltjes-) voor Utrecht, bevattende de noodige inlichtingen bij een bezoek aan de stad en de omstreken	Utr	F	1885	Unknown	Unknown	f 0.10
Gids (De Nederlandsche) voor spoorwegen	 -(Geïllustreerde) en adresboek voor Baarn en omstreken, bevattende vele aanwijzingen, die den vreemdeling van nut kunnen zijn	Baarn	A	1889	Unknown	Unknown	f 0.75
Gids (De Nederlandsche) voor spoorwegen	(Geïllustreerde) voor Delft en omstreken	Met 1 plattegrond en 25 illustr	naar teekeningen van G	1890	Unknown	Unknown	f 0.40
Gids (De Nederlandsche) voor spoorwegen	 (Kleine) voor Maastricht en omstreken- Met 9 platen en schets van Maastricht	Maastr	M	1890	Unknown	Unknown	f 0.10
Gids (De Nederlandsche) voor spoorwegen	 -(Moeders) bij het gebed der kinderen	Alkm	P	1885	Unknown	Unknown	f 0.15
Gids (De Nederlandsche) voor spoorwegen	(Officiëele) voor de Reunie-feesten ter gelegenheid van het 255-jarig bestaan der instelling van Honger Onderwijs te Amsterdam	Amst	Erven H	1887	Unknown	Unknown	f 0.30
Gids (De Nederlandsche) voor spoorwegen	(Onze)	Vakblad voor den behanger	stotleerder en meubelmaker	1891	Unknown	Unknown	f 3.40
Gids (De Nederlandsche) voor spoorwegen	(Praktische geïllustreerde) voor Parijs	Arnhem-Nijmegen	Gebr	1889	Unknown	Unknown	Unknown
Giese (Josephine) [Mevr. Bouberg Wilson-	(Praktische geïllustreerde) voor Parijs	Arnhem-Nijmegen	Gebr	Unknown	Unknown	Unknown	Unknown
Giese]	Gevloekt	(Amst	v	1890	Unknown	Unknown	f 2.50
Giesen (L. M.)	Afscheidslied voor bariton, alt of mezzo-soprano met pianobegeleiding	's Bosch	Henri Mosmans	1887	Unknown	Unknown	f 0.50
Giesen (L. M.)	Alleen	Dramatisch lied voor bariton	met pianobegeleiding	1890	Unknown	Unknown	f 0.80
Gigeh (J. van)	Beknopte handleiding voor de beoefening van de gronden der staats-, provinciale-en gemeente-inrichting van Nederland ten behoeve van het onderwijs op de hoogere burgerscholen	4e	na de gewijzigde grondwet geheel herz	1888	Unknown	Unknown	f 0.90
Gigeh (J. van)	Beknopte handleiding voor de beoefening van het Nederlandsche handelsrecht, ten behoeve van het onderwijs op de hoogere burgerscholen	Alkm	P	1886	Unknown	Unknown	f 1.10
Gigeh (L. W. van)	Het onderzoek van strafzaken op de terechtzitting	's Hage	Gebr	1886	Unknown	Unknown	Unknown
Gijben (G. G.)	Dankbaar maar niet voldaan	Bos (Utr	B	1884	Unknown	Unknown	Unknown
Gijben (G. G.)	 De zestien Amsterdamsche resolutiën aan de belijdenis en de historie getoetst	Leiden	D	1883	Unknown	Unknown	f 0.50
Gijben (G. G.)	Geen moed verloren! Nog een woord over de hereeniging der wezenlijk Gereformeerde kerken in ons vaderland	Leeuw	A	1890	Unknown	Unknown	f 0.40
Gijben (G. G.)	 -Getoetst	Amst	J	Unknown	Unknown	Unknown	f 0.40
Gijben (G. G.)	Kerkformatie	Leid	D	1883	Unknown	Unknown	f 0.40
Gijben (G. G.)	 -Kerkorde en kerkwezen	Schiedam	Gebr	1884	Unknown	Unknown	f 0.75
Gijben (G. G.)	 Open schrijven aan Dr	Sommelsdijk	W	4887	Unknown	Unknown	f 0.20
Gijsberti Hodenpijl (1. J. H.)	Be werkkring der Nederl	liaan	Erven F	1886	Unknown	Unknown	f 0.80
Gijsen (Marie)	Drie gratiën	Schiedam	H	1889	Unknown	Unknown	f 2.80
Unknown	Gijzeling (In)	Haarl	D	1885	Unknown	Unknown	f 0.20
Gillissen (M. J.)	Daar is mevrouw! Oor kluchtspel in één bedrijf, met-spronkelijk coupletten	60G	)	1890	Unknown	Unknown	f 0.60
Gillissen (M. J.)	Daar is oom! Oorspronkelijk klucht één bedrijf	)-spel in Zutph	Thieme's Boek-en Muziekhandel	1888	Unknown	Unknown	f 0.50
Gillissen (M. J.)	 - De astronoom	Kampen	L	1887	Unknown	Unknown	f 0.40
Gillissen (M. J.)	 De beproeving	Kampen	L	1887	Unknown	Unknown	f 0.40
Gillissen (M. J.)	 De inkwartiering of zes jaren de bruid	Zutphen	Thieme's Boek-cn Muziekh	1889	Unknown	Unknown	f 0.75
Gillissen (M. J.)	 De jaloersche	Zutph	Thieme's Boek-en Muziekhandel	1888	Unknown	Unknown	Unknown
Gillissen (M. J.)	 De kleine weldoenster	560) Zutph	Thieme's Boek-en Muziek 1988	1988	Unknown	Unknown	f 0.30
Gillissen (M. J.)	 De laatste stuiver	Zutphen	Thieme's Boek-en Muziekh	1889	Unknown	Unknown	f 0.50
Gillissen (M. J.)	 De roode ridder	Kampen	Lau--spel met rens van Hulst	1885	Unknown	Unknown	f 0.50
Gillissen (M. J.)	 --De scherpziende blik	Zutph	Thiemes Boek-en Muziek 1888	1888	Unknown	Unknown	f 0.30
Gillissen (M. J.)	De slechte huisknecht	Zutph	Thieme's Boek-en Muziekhandel	1888	Unknown	Unknown	f 0.30
Gillissen (M. J.)	 De tweelingbroeders	Kampen	Laurens van Hulst	1888	Unknown	Unknown	f 0.40
Gillissen (M. J.)	 - De verstrooiden	Kluchtspel in één bedrijf	vrij naar het Duitsch	1890	Unknown	Unknown	f 0,50
Gillissen (M. J.)	De wispelturigen	Zutph	Thieme's Boeken Muziekhandel	1888	Unknown	Unknown	f 0.30
Gillissen (M. J.)	Drie blijspelen voor kinderen	Unknown	Unknown	Unknown	Unknown	Unknown	f 0.75
Gillissen (M. J.)	Drietal tooneelspelen voor de jeugd	Zutph	Thieme's Boek Muziekhandel	1888	Unknown	Unknown	f 0.75
Gillissen (M. J.)	 I?en onrustige nacht	Zutph	Thieme's Boek-en Muziekhandel	1888	Unknown	Unknown	f 0.40
Gillissen (M. J.)	Een stiefzoontje	Zutphen	Thieme's Boek - en Muziekh	1889	Unknown	Unknown	Unknown
Gillissen (M. J.)	Een uurtje bij een photograaf	Zutph	Thieme's Boek-en Muziekh	1889	Unknown	Unknown	f 0.60
Gillissen (M. J.)	Een verkeerde overjas	Vaudeville in één bedrijf of twee tafereelen	met zang, 1 heer, 1 dame	1885	Unknown	Unknown	f 0.4
Gillissen (M. J.)	 - Heerenknechts	Kampen	L	1886	Unknown	Unknown	f 0.45
Gillissen (M. J.)	 - Het bedrogen drietal	Oorspronkelijk blijspel met zang in één bedrijf	7 heeren, 1 darre	1885	Unknown	Unknown	f 11.40
Gillissen (M. J.)	 - In den groentijd	Zutphen	Thieme's Boek-en Muziekh	1889	Unknown	Unknown	f 0.60
Gillissen (M. J.)	 Jong bij jong	Kampen	L	1886	Unknown	Unknown	f 0.4
Gillissen (M. J.)	 -Liederen	Zutph	Thieme's Boek-en Muziekh	1888	Unknown	Unknown	f 0.40
Gillissen (M. J.)	Moeders verjaardag	) Zutph	, Thieme's Boek-en Muziekh	1888	Unknown	Unknown	f 0.30
Gillissen (M. J.)	 Onderhandsche verkoop	Kampen	L	Unknown	Unknown	Unknown	f 0,60
Gillissen (M. J.)	Senior en Junior	Amst	G	1884	Unknown	Unknown	f 0.35
Gillissen (M. J.)	Studenten -grap	Kampen	Lau--spel met rens van Hulst	1885	Unknown	Unknown	f 0.35
Gillissen (M. J.)	 Funk	Amst	H	1589	Unknown	Unknown	Unknown
Gilse (J. A. van)	Eene leening der gemeente, ten behoeve van de Vereeniging »Rotterdamsche Schouwburg"	Rott	Nijgh & van l)itmar 18911	Unknown	Unknown	Unknown	f 0.20
Giltay (E )	Hoofdzaken uit de leer van het zien door den microscoop, met behulp van zeven objecten	Leiden	E	1890	Unknown	Unknown	f 1.20
Giltay (E )	Inleiding tot het gebruik van den microscoop	Leiden	E	1884	Unknown	Unknown	f 3.20
Giltay (J. W.)	De beginselen der electriciteitsleer	's Hage	Gebr	1888	Unknown	Unknown	f 2.40
Girard (Alberti	Invention en l'algébre	Leid	1884	1884	Unknown	Unknown	Unknown
Glspen (W. H.)	Denkt aan uwe belijdenis	Een woord aan jeugdige leden der gemeente	na het afleggen hunner geloofsbelijdenis	1880	Unknown	Unknown	f 0.25
Glspen (W. H.)	Pilaar en vastigheid	3:15b	gehouden te Rotterdam, voor den aanvang der Synode, 47 Aug	1885	Unknown	Unknown	f 0.25
Glspen (W. H.)  en J. Bavinek	De Christel	Twee toespraken	gehouden den 9 Jan	1883	Unknown	Unknown	f 0.25
Glanor [Hugo Beijerman]	De ware Jozef	's Hage	Henri J	1883	Unknown	Unknown	f 0.40
Glanor [Hugo Beijerman]	Zijn geheim	's Hage	Henri J	1883	Unknown	Unknown	f 0.50
Glasius (L. J. M.)	Nationaal-militaire ver Uitgevers-Maatschappij Else--toogen	Amst	vier' '1889	Unknown	Unknown	Unknown	f 1.20
Unknown	Glazen (De geschilderde) in de Groote of St	Gouda	A	1884	Unknown	Unknown	f 15.30
Unknown	Gleanings from different authors	Rott	Nijgh & van Ditwar	Unknown	Unknown	Unknown	f 0.90
Gleiehman (J. G.)	Opmerkingen over den politieken toestand van het oogenblik	-vereeniging »Amstels Amst	I)	1894	Unknown	Unknown	f 0.30
Gleuns (W.)	Leiddraad bij het onderwijs in de wis-of sterrekundige aardrijkskunde	Gron	J	1885	Unknown	Unknown	f 0.90
Glimmenga (H. G.)	Zijn vriend Droog Blijspel met zang in twee bedrijven	Delfzijl	1I	1991	Unknown	Unknown	Unknown
Unknown	Globe (De)	Middelb	De Gebr	Unknown	Unknown	Unknown	Unknown
Glouvet J. de)	De zwarte schipper	Amst	Jan Leendertz	1883	Unknown	Unknown	Unknown
Glover (St.)	Hoort gij de wilde golven? What are the wild waves saying? Duet naar aanleiding van een episode uit Ch	Middelb	F	1890	Unknown	Unknown	f 0.40
Glyphos (E. A.)	Het zwarte galeischip	-melsdijk	W	1889	Unknown	Unknown	f 0.40
Glyphos (E. A.)	 Om des geloofs wil	Sommelsdijk	W	1886	Unknown	Unknown	f 0.20
Goard (Henry A )	De raad eencc heitin	Middelb	F	1888	Unknown	Unknown	f 0.40
Goch (H. A. van)	»Een ovatie	" Oor blijspel in één bedrijf	Drieborg,-spronkelijk J	1891	Unknown	Unknown	f 0.35
God is getrouw. Amst.	Iloveker & Zn	Unknown	Unknown	1885	Unknown	Unknown	f 0.60
God  is liefde	of »kiest U, wien gij dienen zult"	Amst	Lutkie & Smit	1890	Unknown	Unknown	f 0.75
Unknown	God  met ons! Gebeden ten dienste van Christelijke huisgezinnen	Utr	Kemink & Zn	1883	Unknown	Unknown	f 1.25
Unknown	God  - met ons	Rott	J	1890	Unknown	Unknown	f 0.60
Goddefroy (M. J.)	Iets meer en iets anders uit de geschiedenis der reorganisatie van het beheer der kerkelijke goederen en fondsen der Ned	Utr	P	1885	Unknown	Unknown	Unknown
Unknown	Godmensch (De) Jesus Christus waarachtig God	Utr	W	1890	Unknown	Unknown	f 1.20
Unknown	Gods Voorzienigheid in de leiding met zijn volk	Op bijzonder verlangen van velen overgedrukt uit Gezelle Meerburg's Christelijke Volks -Scheurkalender	jaarg	1887	Unknown	Unknown	f 0.15
Godsdienst of Christus. 's Hage	H C	Unknown	Unknown	1891	Unknown	Unknown	f 0.04
Unknown	Godsdienst  (De) der menschheid	Amst	J	Unknown	Unknown	Unknown	f 0.20
Godsdienst  (De) der menschheid	 (De) des twijfelaars	Amst	J	1883	Unknown	Unknown	f 1.50
Unknown	Godsdiensten (De voornaamste)	Haarl	H	1883	Unknown	Unknown	f 2.75
Unknown	Godsdienstprediking (Onze)	Tiel	D	Unknown	Unknown	Unknown	f 1.80
Unknown	Godsvrucht (De) tot het H	Nijm	L	1888	Unknown	Unknown	f 0.30
Goede (E. de)	Eene korte en eenvoudige beschrijving van den weg der bekeering, dien de Drie-eenige Verbondsgod met mij gehouden heeft	Doesb	J	1890	Unknown	Unknown	f 0.30
Goedhart (B. J.)	Latijnsche oefeningen, naar Prof	Dordr	Blussé en v	1887	Unknown	Unknown	f 1.40
Goeje (M. J. de)	Biographie de Reinhart Dozy	Leiden	E	1883	Unknown	Unknown	f 0.50
Goeje (M. J. de)	 Mémoires	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Goeman Borgesius (H.)	De beteekenis van den verkiezingsstrijd	's Hage	Joh	1886	Unknown	Unknown	f 0.30
Goeman Borgesius (H.)	Weekblad (Sociaal)	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Goemans (F. J.)	Geschiedenis der Nederlanden	's Bosch	G	1889	Unknown	Unknown	f 0.45
Goes (F. van der)	Aan den heer Henry Tindal	Amst	S	1890	Unknown	Unknown	f 0.25
Goes (F. van der)	 - Dr	Amst	W	1888	Unknown	Unknown	f 0.50
Goes (F. van der)	Getuigenissen en bewijsstukken in de politie-quaestie	Amst	S	1891	Unknown	Unknown	Unknown
Goes (F. van der)	 Het koningschap in Nederland	Amst	J	1891	Unknown	Unknown	Unknown
Goes (F. van der)	 Majesteits-schennis	Amst	W	1886	Unknown	Unknown	f 0.25
Goes (F. van der)	 Mr	Amst	S	1891	Unknown	Unknown	f 0.20
Goes (F. van der)	 Van den verbranden schouwburg	Amst	W	1890	Unknown	Unknown	f 0.50
Goes (F. van der)	Wat de socialisten niet willen	Amst	S	1891	Unknown	Unknown	f 0,10
Goes van Dirxland (H. van der)	Suikercultuur en spoorwegtarieven	's Hage	F	1886	Unknown	Unknown	Unknown
Unknown	Goethe's Braut von Corinth vertaald en eene andere Bruid van Korinthe daaraan toegevoegd door Studiosus	Utr	J	1883	Unknown	Unknown	f 0.70
Unknown	Goethe's  Faust	) Leiden	A	1891	Unknown	Unknown	f 0.80
